,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.roughnessCoating1,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessCoating1,KB_ver.roughnessCoating1,KB_hor.roughnessCoating1,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
40,40,0.03,750.0,5,1,400000.0,0.0,0.2,0.0,0.0,0.0,0.0,,0.75,28872.0,7.218000000000001,750.0,0.0715355347165768,0.0092036230389453,0.009713029259382,-0.0005637499636906,5.78740091999669e-06,81637489333200.25,10.522039582996154,75.94595681639322,858968861110832.5,0.0026670997180255,0.0015078597915675
41,41,0.03,750.0,5,1,400000.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.75,28839.7,7.209925,750.0,0.069873442763719,0.009660268104535,0.0096711958698194,-0.0005636329939698,-2.464605770418483e-06,81546158947170.1,10.77737162664037,77.70120478848034,878821179980101.2,0.0026641159510231,0.0015061729021498
42,42,0.03,750.0,5,1,400000.0,0.0,0.4,0.0,0.0,0.0,0.0,,0.75,28795.4,7.198849999999998,750.0,0.0715654372887115,0.0092562650959436,0.0097583110743492,-0.0005614211870298,-2.663102039438217e-06,81420897767568.36,10.509807369055109,75.66429156350773,855783152593518.2,0.0026600236637722,0.0015038593045893
43,43,0.03,750.0,5,1,400000.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.75,28878.2,7.21955,750.0,0.0722544676187907,0.0087894677148035,0.0097156014299139,-0.0005723351586037,-5.049587815628148e-06,81655020243212.22,10.40730334091214,75.13237605168356,849767047450444.0,0.0026676724534872,0.0015081835907746
44,44,0.03,750.0,5,1,400000.0,0.0,0.0,0.1,0.0,0.0,0.0,,0.75,28831.7,7.207924999999999,750.0,0.0736965700383279,0.0091456875459568,0.0097157131309988,-0.0005628460320986,-2.240188319620758e-06,81523538418122.39,10.202441764730406,73.54254516047419,831785639522666.5,0.0026633769375241,0.0015057550967213
45,45,0.03,750.0,5,1,400000.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.75,28863.1,7.215774999999999,750.0,0.0719072066887519,0.0090159026912893,0.0095607193361612,-0.0005628238436233,2.29006245339518e-06,81612323994634.67,10.468329120418918,75.5426500922032,854407355375992.9,0.0026662775655078,0.0015073949830283
46,46,0.03,750.0,5,1,400000.0,0.0,0.0,0.3,0.0,0.0,0.0,,0.75,28892.2,7.223050000000001,750.0,0.0704503260013097,0.009125661187327,0.0097308032169019,-0.0005637916459731,6.185378402202783e-06,81694606169045.72,10.663525142188137,77.02478356757209,871170677042078.8,0.0026689657271106,0.0015089147502746
47,47,0.03,750.0,5,1,400000.0,0.0,0.0,0.4,0.0,0.0,0.0,,0.75,28898.4,7.2246,750.0,0.0741977778973477,0.0089063891819292,0.0096931206171709,-0.0005713072849827,3.3644185971577967e-06,81712137079057.7,10.12690719434634,73.16002380831965,827459221843775.5,0.0026695384625723,0.0015092385494817
48,48,0.03,750.0,5,1,400000.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.75,28939.2,7.2348,750.0,0.0713565291269219,0.009369513925726,0.0096783816750116,-0.0005657813834927,8.17440424761186e-06,81827501777201.03,10.51941622626077,76.09915777190423,860701604442969.4,0.0026733074314174,0.0015113693571672
49,49,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.1,0.0,0.0,,0.75,28853.9,7.213475000000001,750.0,0.0732492965012169,0.0093171768222702,0.0098211031838926,-0.0005690980263809,9.74596627952533e-07,81586310386229.78,10.255189505692892,73.98224455429542,836758755977764.6,0.0026654276999839,0.0015069145067855
