Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_hor.slopeErrorMer
250,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0,0.05
251,0.03,500.0,2.25,1,500000.0,2,0,0.2,0,0,0
252,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0.2,0.2
253,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0.2,0.05
254,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0.2,0
255,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0.05,0.2
256,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0.05,0.05
257,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0.05,0
258,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0,0.2
259,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0,0.05
260,0.03,500.0,2.25,1,500000.0,2,0,0.05,2,0,0
261,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0.2,0.2
262,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0.2,0.05
263,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0.2,0
264,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0.05,0.2
265,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0.05,0.05
266,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0.05,0
267,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0,0.2
268,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0,0.05
269,0.03,500.0,2.25,1,500000.0,2,0,0.05,1,0,0
270,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0.2,0.2
271,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0.2,0.05
272,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0.2,0
273,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0.05,0.2
274,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0.05,0.05
275,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0.05,0
276,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0,0.2
277,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0,0.05
278,0.03,500.0,2.25,1,500000.0,2,0,0.05,0.5,0,0
279,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0.2,0.2
280,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0.2,0.05
281,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0.2,0
282,0.03,500.0,2.25,1,500000.0,2,0,0.05,0,0.05,0.2
