,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_hor.slopeErrorMer,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
47,47,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.2,0.0,,10742.45,5.371225000000001,500.0,0.0487491523315468,0.0139236624012396,0.0094467402667198,74513947553234.5,10.280243256599714,55.21454447304418,765980511157165.8,0.0016168866404162,0.0009041374754075
48,48,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.05,0.2,,10747.6,5.3738,500.0,0.0488907594427018,0.0146689083222363,0.0096113776575064,74549670021563.34,10.251069702100182,55.08943199470959,764244850363049.2,0.0016176617863278,0.0009045709247602
49,49,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.05,0.05,,10776.55,5.388274999999999,500.0,0.050361818145339,0.0138686769849081,0.0095766146761254,74750478848382.75,9.96559625674746,53.704627105806914,745033724621127.0,0.0016220191599474,0.0009070074992765
50,50,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.05,0.0,,10743.55,5.371774999999999,500.0,0.04839344157497,0.0139738591469381,0.0096160901223114,74521577595013.47,10.357650404144634,55.63830535531567,771859262495396.9,0.0016170522055624,0.0009042300568227
51,51,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.0,0.2,,10738.2,5.3691,500.0,0.0499459062548566,0.0147242599529392,0.0098289621173115,74484467846361.19,10.03125037853574,53.856644918026575,747142637818189.4,0.0016162469568969,0.0009037797744854
52,52,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.0,0.05,,10713.15,5.356574999999999,500.0,0.0489008594954753,0.0142129894717856,0.0098988242095963,74310710985849.06,10.258412298921396,54.94709808411879,762270280027826.0,0.0016124765869774,0.0009016714431682
53,53,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,1.0,0.0,0.0,,10769.8,5.3849,500.0,0.0495809201676138,0.0143844850917793,0.009840495476358,74703658137466.3,10.113968741540909,54.45625214705499,755460870924485.1,0.0016210031920051,0.0009064393860473
54,54,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.2,0.2,,10770.35,5.385175000000001,500.0,0.0492094657368084,0.0143192384507082,0.0094284069470543,74707473158355.78,10.198841069852405,54.92641908494159,761983404341154.0,0.0016210859745781,0.0009064856767549
55,55,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.2,0.05,,10799.0,5.399500000000001,500.0,0.0494306592850875,0.0143015495049285,0.0094883348730226,74906201064690.03,10.149101008619883,54.79197135996607,760118237507242.8,0.001625398194067,0.0009088970017944
56,56,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.2,0.0,,10737.4,5.3687,500.0,0.0492397712430487,0.0140659045079837,0.0096788223579097,74478918725067.39,10.186819607110683,54.68633295177223,758652736656363.2,0.0016161265458815,0.0009037124425472
57,57,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.05,0.2,,10753.85,5.376925000000002,500.0,0.0489753217848118,0.0146239718668612,0.0095817957729594,74593022531671.16,10.23050051252224,55.01403289595642,763198853501987.6,0.0016186024973856,0.000905096955528
58,58,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.05,0.05,,10767.0,5.3835,500.0,0.0483831182913774,0.0140597611094322,0.0095961763535451,74684236212938.02,10.365436712906874,55.80514959319636,774173859778325.8,0.0016205817534512,0.0009062037242633
59,59,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.05,0.0,,10733.8,5.366900000000001,500.0,0.0495098296973537,0.0140695209281994,0.0097257870654997,74453947679245.28,10.126247464751245,54.331601943865145,753731623182492.1,0.0016155846963123,0.0009034094488249
60,60,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.0,0.2,,10725.6,5.362800000000001,500.0,0.0494311290190153,0.0144755284071172,0.0099445253865097,74397069185983.83,10.144245895891457,54.409602756099005,754813713102743.8,0.0016143504834044,0.0009027192964576
61,61,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.0,0.05,,10755.3,5.377650000000001,500.0,0.0483834560775903,0.0142648542938299,0.0098759736488721,74603080314016.17,10.368107320035092,55.7439441004969,773324768021235.8,0.001618820742351,0.0009052189946661
62,62,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.5,0.0,0.0,,10718.6,5.359299999999999,500.0,0.0486854308010947,0.0143196836339609,0.0098651239429041,74348514374663.08,10.308243987636256,55.24892723406928,766457496435525.9,0.0016132968870197,0.0009021301419977
63,63,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.2,0.2,,10712.5,5.356250000000001,500.0,0.0484423386212852,0.0143362799877138,0.0094326581376958,74306202324797.84,10.345949089529558,55.40883582311494,768675876826863.1,0.0016123787530274,0.0009016167359683
64,64,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.2,0.05,,10703.2,5.3516,500.0,0.0485832171014947,0.0140974093856205,0.0097017425614974,74241693789757.4,10.326036581681722,55.24800997321525,766444771456183.2,0.0016109789749734,0.0009008340021859
65,65,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.2,0.0,,10737.0,5.3685,500.0,0.0482667992272239,0.0143152274929395,0.0095234539049757,74476144164420.5,10.388159728113587,55.76246017247321,773581637844439.2,0.0016160663403738,0.000903678776578
66,66,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.05,0.2,,10742.05,5.371025,500.0,0.0493851225570636,0.0144592992825632,0.0097245577908241,74511172992587.61,10.15356653484336,54.52773050030829,756452476054694.8,0.0016168264349085,0.0009041038094384
67,67,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.05,0.05,,10778.75,5.389375,500.0,0.0495098195852051,0.01420970404179,0.0096474963499437,74765738931940.72,10.129275063236037,54.59277002685398,757354756608928.1,0.0016223502902398,0.0009071926621068
68,68,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.05,0.0,,10792.95,5.396475000000001,500.0,0.048613040605673,0.0141838431009727,0.0095994881867915,74864235834905.66,10.321895854347858,55.69946609296356,772707733374463.0,0.001624487585763,0.0009083878040112
69,69,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.0,0.2,,10735.7,5.367850000000001,500.0,0.0491599943397033,0.0147593791735955,0.0099391604288553,74467126842318.08,10.205626981948924,54.77292564345896,759854020029679.0,0.0016158706724738,0.0009035693621783
70,70,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.0,0.05,,10785.0,5.392500000000002,500.0,0.0490222046968113,0.0143935935855171,0.0098723609148976,74809091442048.53,10.230286622504348,55.15940586803174,765215584139203.2,0.0016232910012975,0.0009077186928746
71,71,0.03,500.0,2.25,1,200000.0,1.0,0.2,0.05,0.0,0.0,0.0,,10719.0,5.359500000000001,500.0,0.0483466615698517,0.0143992050821991,0.0099267197974024,74351288935309.98,10.38734227341062,55.668081350492265,772272339017593.2,0.0016133570925274,0.0009021638079668
