,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
10,10,0.03,702,2,100000.0,1.25928548443795,,3200.0,3.2,702.0,0.0577036951815443,0.0099900532643669,0.0093969239541157,38062284687562.38,12.165598715843132,38.929915890698034,463050481717064.7,0.001162628161027,0.0006617094982394
11,11,0.03,722,2,100000.0,1.26742532522346,,3248.0,3.248,722.0,0.0571799853900074,0.0099437872079848,0.0093502064773775,37883449055699.74,12.62679581107717,41.01183279437865,478346575845664.9,0.0011907467484907,0.0006762503343582
12,12,0.03,742,2,100000.0,1.27528577565715,,3251.0,3.251,742.0,0.0644785476407605,0.0104550944435374,0.009614026994678,37107166473347.98,11.507703370336769,37.41154365696483,427018264688994.0,0.0011990525506686,0.0006788960185836
13,13,0.03,762,2,100000.0,1.28337129179016,,3319.0,3.319,762.0,0.0668370158402922,0.0090971062690784,0.0096809799956704,37055081185865.44,11.400868073176806,37.83948113487381,422460092040907.75,0.0012301412472341,0.0006939036830065
14,14,0.03,782,2,100000.0,1.29164824012589,,3303.0,3.3029999999999995,782.0,0.0684575394100193,0.010411031140405,0.009831228052404,36019206756513.92,11.423139171221043,37.73062868254311,411452411616644.0,0.0012274982739682,0.0006899707753303
15,15,0.03,802,2,100000.0,1.30021834112426,,3395.0,3.395,802.0,0.0703399937546009,0.010424367691749,0.0098511638077581,36107358630328.445,11.40176387842714,38.70898836726014,411687577376693.3,0.001262297823126,0.0007076394320269
16,16,0.03,822,2,100000.0,1.30869521201282,,3427.0,3.427,822.0,0.0736377109692512,0.0086965592281116,0.0097012068405455,35520244318658.28,11.162758716702118,38.254774122138166,396503916887491.6,0.0012731604731374,0.0007112074128177
17,17,0.03,842,2,100000.0,1.31711516242917,,3556.0,3.556,842.0,0.076281694330305,0.010509598061979,0.0096164591135408,35863371028149.33,11.038034844298046,39.25125190632385,395861139042701.3,0.0013170259107817,0.0007326687028314
18,18,0.03,862,2,100000.0,1.3257059739536,,3665.0,3.665,862.0,0.0771524220597257,0.0094168181628982,0.0094468293545298,35917707537432.625,11.172688776156672,40.9479043646142,401297367868751.4,0.0013507984532095,0.0007477319405055
19,19,0.03,882,2,100000.0,1.33418690330805,,3529.0,3.5290000000000004,882.0,0.0790720220163621,0.0108317545809592,0.0091790199267578,33544244069674.586,11.154387829079305,39.36383464882086,374165507786443.75,0.0012909964942025,0.0007107415624351
20,20,0.03,902,2,100000.0,1.34305723027778,,3704.0,3.704,902.0,0.0797360409006842,0.0107666774349266,0.0095834102259252,34089957371131.96,11.312324888609565,41.90085138740982,385636673221095.1,0.001342143693031,0.0007343115270711
21,21,0.03,922,2,100000.0,1.35202507217289,,3729.0,3.729,922.0,0.0888387016611886,0.0104712660988186,0.0097148459408696,33168475192872.12,10.378359687383837,38.70090327425432,344234365833694.8,0.0013350151936572,0.0007255595332421
22,22,0.03,942,2,100000.0,1.36109770020853,,3741.0,3.741,942.0,0.0799038398810125,0.010791468885408,0.0098726360336474,32090060102725.367,11.789170600596456,44.10328721683134,378315193134423.2,0.0013199660881467,0.0007121448792179
23,23,0.03,962,2,100000.0,1.37010270270469,,3792.0,3.792,962.0,0.0885779466727854,0.0099314668007262,0.0095018662543797,31299793312836.89,10.860491083110238,41.18298218715403,339931126177258.56,0.0013149392372202,0.000703995466348
24,24,0.03,982,2,100000.0,1.37934440695512,,3818.0,3.818,982.0,0.0774337689877029,0.0104461459012122,0.0094961801739534,30248106143341.99,12.681805533138249,48.41913352552184,383600599855587.5,0.0012974612871428,0.000688900517524
