x y z
-6.666667 -9.0 0.02028843
-6.0 -9.0 0.02612893
-5.333333 -9.0 0.0316795
-4.666667 -9.0 0.03652164
-4.0 -9.0 0.04020535
-3.333333 -9.0 0.0429776
-2.666667 -9.0 0.04520625
-2.0 -9.0 0.04674191
-1.333333 -9.0 0.04782397
-0.6666667 -9.0 0.04853383
0.0 -9.0 0.04873342
0.6666667 -9.0 0.04850169
1.333333 -9.0 0.04788985
2.0 -9.0 0.04694485
2.666667 -9.0 0.04542207
3.333333 -9.0 0.04340929
4.0 -9.0 0.04073554
4.666667 -9.0 0.03744868
5.333333 -9.0 0.03293125
6.0 -9.0 0.02755614
6.666667 -9.0 0.02182807
7.333333 -9.0 0.01620857
8.0 -9.0 0.01114816
8.666667 -9.0 0.006948262
9.333333 -9.0 0.003767119
10.0 -9.0 0.001658162
-10.0 -8.4 0.007759349
-9.333333 -8.4 0.01374509
-8.666667 -8.4 0.02188204
-8.0 -8.4 0.03217819
-7.333333 -8.4 0.04409851
-6.666667 -8.4 0.05725358
-6.0 -8.4 0.07109395
-5.333333 -8.4 0.08527334
-4.666667 -8.4 0.09902794
-4.0 -8.4 0.1113731
-3.333333 -8.4 0.121466
-2.666667 -8.4 0.1290589
-2.0 -8.4 0.1345117
-1.333333 -8.4 0.1382655
-0.6666667 -8.4 0.1405613
0.0 -8.4 0.1414235
0.6666667 -8.4 0.1409815
1.333333 -8.4 0.1390907
2.0 -8.4 0.1357201
2.666667 -8.4 0.1308935
3.333333 -8.4 0.1242105
4.0 -8.4 0.1149211
4.666667 -8.4 0.1033049
5.333333 -8.4 0.08978729
6.0 -8.4 0.0756449
6.666667 -8.4 0.06162019
7.333333 -8.4 0.04813903
8.0 -8.4 0.03571615
8.666667 -8.4 0.02481682
9.333333 -8.4 0.01587931
10.0 -8.4 0.009173479
-10.0 -7.8 0.02027184
-9.333333 -7.8 0.03163057
-8.666667 -7.8 0.04558031
-8.0 -7.8 0.06197819
-7.333333 -7.8 0.08041491
-6.666667 -7.8 0.1004088
-6.0 -7.8 0.1211769
-5.333333 -7.8 0.142065
-4.666667 -7.8 0.1624017
-4.0 -7.8 0.1815589
-3.333333 -7.8 0.1989426
-2.666667 -7.8 0.2136277
-2.0 -7.8 0.2244171
-1.333333 -7.8 0.2313441
-0.6666667 -7.8 0.235826
0.0 -7.8 0.2374826
0.6666667 -7.8 0.2367782
1.333333 -7.8 0.2333
2.0 -7.8 0.2272257
2.666667 -7.8 0.2175917
3.333333 -7.8 0.2041477
4.0 -7.8 0.1875616
4.666667 -7.8 0.1690371
5.333333 -7.8 0.1490784
6.0 -7.8 0.1283851
6.666667 -7.8 0.1074167
7.333333 -7.8 0.08695698
8.0 -7.8 0.06786571
8.666667 -7.8 0.05067601
9.333333 -7.8 0.03580507
10.0 -7.8 0.02351744
-10.0 -7.2 0.03712747
-9.333333 -7.2 0.05415295
-8.666667 -7.2 0.07494164
-8.0 -7.2 0.09923147
-7.333333 -7.2 0.1266098
-6.666667 -7.2 0.1560763
-6.0 -7.2 0.1867909
-5.333333 -7.2 0.2172006
-4.666667 -7.2 0.2465411
-4.0 -7.2 0.2738459
-3.333333 -7.2 0.2983063
-2.666667 -7.2 0.3193993
-2.0 -7.2 0.3372122
-1.333333 -7.2 0.3493456
-0.6666667 -7.2 0.3564738
0.0 -7.2 0.3594509
0.6666667 -7.2 0.3580038
1.333333 -7.2 0.3525369
2.0 -7.2 0.3419328
2.666667 -7.2 0.32621
3.333333 -7.2 0.3056866
4.0 -7.2 0.2824697
4.666667 -7.2 0.256137
5.333333 -7.2 0.2273931
6.0 -7.2 0.1970751
6.666667 -7.2 0.1662669
