Energy[eV],Reflectivity
2.300537899999998899e+03,9.148079853736236222e-01
2.309495799999998781e+03,9.148557304704874049e-01
2.318453699999999117e+03,9.148953310961310814e-01
2.327411599999998998e+03,9.149390790809769358e-01
2.336369499999998880e+03,9.149869996658487326e-01
2.345327399999999216e+03,9.150095456640783276e-01
2.354285299999999097e+03,9.150175386003706057e-01
2.363243199999998978e+03,9.150293689898634231e-01
2.372201099999998860e+03,9.150450666965523894e-01
2.381158999999998741e+03,9.150470180051153424e-01
2.390116899999999077e+03,9.150250477174912689e-01
2.399074799999998959e+03,9.150065711415276137e-01
2.408032699999998840e+03,9.149916203296789563e-01
2.416990599999999176e+03,9.149755957445739885e-01
2.425948499999999058e+03,9.149203618230600243e-01
2.434906399999998939e+03,9.148681917189297463e-01
2.443864299999998821e+03,9.148191175861133395e-01
2.452822199999998702e+03,9.147731721008547368e-01
2.461780099999999038e+03,9.146877597567019125e-01
2.470737999999998920e+03,9.145895240433324913e-01
2.479695899999998801e+03,9.144937024950495763e-01
2.488653799999999137e+03,9.144003239146104578e-01
2.497611699999999018e+03,9.142685443344755747e-01
