,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
24,24,0.05,290,2.25,1,500000.0,,25268.45,6.31917,,290.0,0.02062115739061028,0.01850112492426417,0.018574431317160706,14.086333149603623,89.01395687681966,
25,25,0.05,300,2.25,1,500000.0,,25795.4,6.438000000000001,,300.0,0.021751934951745967,0.01890307258345098,0.01848315524138355,13.824504413637133,88.99229415119673,
26,26,0.05,310,2.25,1,500000.0,,26392.2,6.58848,,310.0,0.022424063938279917,0.018402754115528074,0.01867019746332781,13.90220601197408,91.58146850550531,
27,27,0.05,320,2.25,1,500000.0,,26997.2,6.75332,,320.0,0.0239906866525331,0.018667928546853486,0.01849323819313499,13.370921286667512,90.29656348878062,
28,28,0.05,330,2.25,1,500000.0,,27389.7,6.853219999999999,,330.0,0.025425320443423514,0.018515457851622424,0.01849741686561119,13.002294509106449,89.10871309219559,
29,29,0.05,340,2.25,1,500000.0,,28061.85,7.02113,,340.0,0.026093475330930004,0.018578144698484872,0.018515676537269096,13.077418047272504,91.81595415973328,
30,30,0.05,350,2.25,1,500000.0,,28470.3,7.12138,,350.0,0.02736250538696652,0.018924549877652675,0.01860568595648957,12.805163055123447,91.19584365365729,
31,31,0.05,360,2.25,1,500000.0,,28895.65,7.230210000000001,,360.0,0.028287173573514224,0.018452722515514015,0.018580808798373285,12.740810949992863,92.1197786158097,
32,32,0.05,370,2.25,1,500000.0,,29502.45,7.3718499999999985,,370.0,0.029797803118486853,0.01842780135593477,0.018546950951290296,12.439993618772307,91.71604489281773,
33,33,0.05,380,2.25,1,500000.0,,29900.75,7.48639,,380.0,0.030790416134649945,0.018959743226406905,0.018666444563101917,12.366797638593216,92.57966152293065,
34,34,0.05,390,2.25,1,500000.0,,30373.7,7.60566,,390.0,0.0322292043196029,0.018680819293602068,0.018612028991098165,12.137200068133758,92.32370313356446,
35,35,0.05,400,2.25,1,500000.0,,30877.45,7.71769,,400.0,0.033475437467498634,0.018375480402354864,0.0186159717549458,11.9790049504426,92.44513495162472,
