# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs	AXUVCurrentAmp	GaAsPCurrentAmp
nan	5.087719999999999709e+04	1.017544000000000004e+01	nan	8.000000000000000000e+02	8.239136453415199512e-02	1.870993818688163404e-02	1.448922803444677512e-02	9.728900785531864770e+00	9.899902523181066272e+01	nan	nan	nan
nan	4.779215000000000146e+04	9.558429999999997762e+00	nan	8.000000000000000000e+02	8.003569208578369121e-02	1.945813572495708535e-02	1.449175525786914123e-02	1.001283228009075899e+01	9.570543360873718086e+01	nan	nan	nan
nan	4.080494999999999709e+04	8.160989999999999966e+00	nan	8.000000000000000000e+02	7.566927272197290777e-02	1.892332556638352120e-02	1.456641239363231158e-02	1.058250915013498172e+01	8.636742543958129659e+01	nan	nan	nan
nan	6.496934999999999854e+04	1.299386999999999759e+01	nan	9.000000000000000000e+02	1.274167634042612518e-01	1.814576617687823495e-02	1.469425255354894766e-02	7.078382092390787861e+00	9.197144168304672007e+01	nan	nan	nan
nan	5.407650000000000000e+04	1.081529999999999880e+01	nan	9.000000000000000000e+02	1.012612434609138773e-01	1.907303767652922255e-02	1.444619656272585172e-02	8.912530931138153534e+00	9.639257101598867905e+01	nan	nan	nan
nan	5.082415000000000146e+04	1.016483000000000203e+01	nan	9.000000000000000000e+02	9.401503456979867779e-02	1.872272103204146443e-02	1.447855544262028130e-02	9.584167366889078110e+00	9.742896573841190389e+01	nan	nan	nan
nan	4.430030000000000291e+04	8.860060000000000713e+00	nan	9.000000000000000000e+02	8.965240730225332300e-02	1.919055173376408435e-02	1.450373544452895035e-02	1.005104067621021713e+01	8.905730418195727793e+01	nan	nan	nan
nan	6.867894999999999709e+04	1.373578999999999972e+01	nan	1.000000000000000000e+03	1.477808809520581579e-01	1.845452814812531539e-02	1.467428956752946448e-02	6.787133835373578172e+00	9.322811537323747189e+01	nan	nan	nan
nan	5.701115000000000146e+04	1.140222999999999942e+01	nan	1.000000000000000000e+03	1.159777228566326868e-01	1.882893698634540564e-02	1.453398727853228919e-02	8.632472710359715862e+00	9.842776672369856783e+01	nan	nan	nan
nan	5.411709999999999854e+04	1.082341999999999871e+01	nan	1.000000000000000000e+03	1.096191567563153113e-01	1.865296625576056549e-02	1.455439397026148628e-02	9.135034175377253263e+00	9.887215066282972487e+01	nan	nan	nan
nan	4.745805000000000291e+04	9.491609999999997882e+00	nan	1.000000000000000000e+03	1.052131030252837773e-01	1.879390228657337389e-02	1.438013709262936021e-02	9.515745859200762879e+00	9.032022865199422768e+01	nan	nan	nan
nan	7.211950000000000000e+04	1.442389999999999795e+01	nan	1.100000000000000000e+03	1.716966513860256893e-01	1.856889369952219315e-02	1.462026991646263319e-02	6.422472816625857561e+00	9.263704112812578728e+01	nan	nan	nan
nan	5.985609999999999854e+04	1.197121999999999886e+01	nan	1.100000000000000000e+03	1.356660247025956723e-01	1.885612275306174784e-02	1.457227173832930864e-02	8.119459547516315823e+00	9.719955529328785815e+01	nan	nan	nan
nan	5.680855000000000291e+04	1.136170999999999864e+01	nan	1.100000000000000000e+03	1.276818396475619122e-01	1.884560290973163327e-02	1.449730477615387113e-02	8.634942502230410710e+00	9.811387485505601092e+01	nan	nan	nan
