,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
33,33,0.04,1300,2.25,1,500000.0,,3264.2575,0.6528515,,65.0,0.00852958042984426,0.0009504907842351376,0.0007276425275302814,0.38139188011858827,4.980088860998817,,,
34,34,0.04,1300,3.0,1,500000.0,,3099.6475,0.6199295000000001,,65.0,0.008071607601998494,0.0009453734963081488,0.0007248486104961776,0.40290878399885177,4.99561315790883,,,
35,35,0.04,1300,5.0,1,500000.0,,2804.3,0.56086,,65.0,0.0077827114628075825,0.0009453418869640349,0.0007278465145340535,0.41818308008920096,4.690727897726019,,,
36,36,0.04,1400,1.5,1,500000.0,,4069.5775,0.8139154999999998,,70.0,0.012209660941830973,0.0009387106034705884,0.0007354539371716261,0.287038518797338,4.672548878913139,,,
37,37,0.04,1400,2.25,1,500000.0,,3394.5525,0.6789105000000001,,70.0,0.009666107390064552,0.0008983391846126071,0.0007262039614293629,0.3628434157586655,4.926705123610968,,,
38,38,0.04,1400,3.0,1,500000.0,,3216.8275000000003,0.6433655,,70.0,0.009136254650831574,0.0009404105074552177,0.0007295513815147396,0.3833884451718186,4.9332072861461365,,,
39,39,0.04,1400,5.0,1,500000.0,,2936.8325,0.5873665,,70.0,0.008787881899106082,0.0009563126408027424,0.0007218485648530016,0.39879937944188854,4.684797866057276,,,
40,40,0.04,1500,1.5,1,500000.0,,4222.75,0.8445499999999998,,75.0,0.013607874350732347,0.0009292890005112264,0.0007330420252323425,0.275998318333776,4.66185595827548,,,
41,41,0.04,1500,2.25,1,500000.0,,3511.2050000000004,0.7022410000000001,,75.0,0.010541976172967793,0.0009454932973749223,0.0007272490122913021,0.35633010357147626,5.004408600731432,,,
42,42,0.04,1500,3.0,1,500000.0,,3333.9875,0.6667975,,75.0,0.01026018110774487,0.0009270535228955186,0.0007282497548208618,0.3660254556683059,4.881401987115725,,,
43,43,0.04,1500,5.0,1,500000.0,,3060.6425,0.6121285,,75.0,0.0097065653456184,0.000930769948958296,0.0007212099861494574,0.38676398826021935,4.735045335609091,,,
44,44,0.04,1600,1.5,1,500000.0,,4358.094999999999,0.8716189999999998,,80.0,0.014668248697626608,0.0009429375623231494,0.0007344482505202538,0.2734556565584334,4.7668464715893215,,,
45,45,0.04,1600,2.25,1,500000.0,,3628.43,0.7256859999999998,,80.0,0.01176993331472488,0.0009616108567959958,0.000732887814063769,0.3405705129284377,4.942924447074695,,,
46,46,0.04,1600,3.0,1,500000.0,,3441.405,0.6882810000000001,,80.0,0.011293117227074843,0.0009354227619726584,0.0007309038717324189,0.35448106897769305,4.879765031603413,,,
