,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
10,10,0.02,702,2,300000.0,1.25928548443795,,6025.0,2.0083333333333333,702.0,0.0542828456618735,0.0108351633807612,0.00632043607054,,12.932262327821569,25.97229350837498,,,
11,11,0.02,722,2,300000.0,1.26742532522346,,6303.0,2.101,722.0,0.0507009542541254,0.0099272953074913,0.006215824936594,,14.240363137568597,29.919002952031622,,,
12,12,0.02,742,2,300000.0,1.27528577565715,,6400.0,2.1333333333333333,742.0,0.0489476017835386,0.0101537398716028,0.0062300282638874,,15.15906751226245,32.33934402615989,,,
13,13,0.02,762,2,300000.0,1.28337129179016,,6669.0,2.223,762.0,0.0592981995889658,0.0112409973381304,0.0065199652524435,,12.850305831912507,28.5662298643415,,,
14,14,0.02,782,2,300000.0,1.29164824012589,,6656.0,2.2186666666666666,782.0,0.0590557185711304,0.010390195292034,0.0062242622518093,,13.241732027324494,29.378989457957275,,,
15,15,0.02,802,2,300000.0,1.30021834112426,,6755.0,2.251666666666667,802.0,0.0602702346229762,0.0102935512929243,0.0065194514217422,,13.306734327764866,29.96233012801723,,,
16,16,0.02,822,2,300000.0,1.30869521201282,,6921.0,2.307,822.0,0.0651419694200967,0.0102016225530179,0.0065695244778561,,12.618593010275296,29.11109407470511,,,
17,17,0.02,842,2,300000.0,1.31711516242917,,6884.0,2.294666666666666,842.0,0.0604960732064228,0.0098520263946687,0.0066932217165568,,13.9182587459347,31.93776440233816,,,
18,18,0.02,862,2,300000.0,1.3257059739536,,6826.0,2.275333333333333,862.0,0.0611235110732195,0.0108007741783879,0.0063629340736906,,14.102593009871674,32.08809996179468,,,
19,19,0.02,882,2,300000.0,1.33418690330805,,7275.0,2.4250000000000003,882.0,0.0700521397989177,0.0113379066847363,0.0063442084152252,,12.59062182157105,30.5322579173098,,,
20,20,0.02,902,2,300000.0,1.34305723027778,,7266.0,2.422,902.0,0.0720300198165659,0.0106287210297342,0.0062179549105704,,12.52255659927712,30.32963208344918,,,
21,21,0.02,922,2,300000.0,1.35202507217289,,7391.0,2.4636666666666667,922.0,0.070679108834156,0.0107690067860984,0.0061755452023729,,13.044873021297043,32.13821883346882,,,
22,22,0.02,942,2,300000.0,1.36109770020853,,7198.0,2.3993333333333333,942.0,0.0630022671181222,0.0093339870358762,0.0061851400221457,,14.9518428953335,35.874455053536835,,,
23,23,0.02,962,2,300000.0,1.37010270270469,,7337.0,2.445666666666667,962.0,0.0675353938870557,0.0108183620408567,0.0063552995767013,,14.24438275445348,34.8370120898084,,,
24,24,0.02,982,2,300000.0,1.37934440695512,,7446.0,2.482,982.0,0.0713351660916714,0.0110525430548557,0.0063919411384444,,13.766001452047515,34.16721560398193,,,
25,25,0.02,1002,2,300000.0,1.38819192301866,,7574.0,2.5246666666666666,1002.0,0.0715376689253162,0.011186023353342,0.0064058427366315,,14.006606799643786,35.36201330016735,,,
26,26,0.02,1022,2,300000.0,1.39749037919015,,7572.0,2.524,1022.0,0.0671346775200163,0.0105112099754072,0.0065930026362051,,15.223131141060277,38.42318300003614,,,
27,27,0.02,1042,2,300000.0,1.40690115714451,,7756.0,2.5853333333333333,1042.0,0.0693653955759145,0.0103335077118884,0.0064759313422739,,15.021899483866113,38.836617465621856,,,
28,28,0.02,1062,2,300000.0,1.41643111237549,,7655.0,2.5516666666666667,1062.0,0.0798131490319065,0.0102991088586808,0.006548920786737,,13.30607816984454,33.95267613005332,,,
29,29,0.02,1082,2,300000.0,1.42608801864174,,7883.0,2.627666666666667,1082.0,0.0809536551871588,0.010701783780437,0.0064950915429361,,13.36567196994993,35.120530713038434,,,
30,30,0.02,1102,2,300000.0,1.43534393733411,,7821.0,2.607,1102.0,0.0762335234428519,0.0100088607242681,0.0063584428149115,,14.455582665362549,37.68570400860016,,,
31,31,0.02,1122,2,300000.0,1.44497470086693,,7947.0,2.649,1122.0,0.080027547653799,0.0098040282506544,0.006244291140744,,14.020172214370444,37.13943619586731,,,
32,32,0.02,1142,2,300000.0,1.45469620088515,,7835.0,2.611666666666667,1142.0,0.0838599265559878,0.0100741465858153,0.0063382837157265,,13.61794657949719,35.565537150120164,,,
33,33,0.02,1162,2,300000.0,1.46474671629238,,7932.0,2.644,1162.0,0.0812733796158227,0.0100907709856164,0.0064468505304493,,14.297424390283089,37.802390087908485,,,
34,34,0.02,1182,2,300000.0,1.47474509520611,,8156.0,2.718666666666667,1182.0,0.0847371320398906,0.0105108639771612,0.0063799747172835,,13.949020595169124,37.922737324733134,,,
35,35,0.02,1202,2,300000.0,1.48420475439885,,7984.0,2.6613333333333333,1202.0,0.0841465490789232,0.0105204928972069,0.0062913909762322,,14.28460243654927,38.01608861780312,,,
36,36,0.02,1222,2,300000.0,1.49435122001166,,8077.0,2.692333333333333,1222.0,0.084235085993896,0.0102865216227618,0.0061745937388489,,14.507019083337196,39.05773104537151,,,
37,37,0.02,1242,2,300000.0,1.50458299346498,,8090.0,2.6966666666666668,1242.0,0.09306694745419,0.0101209171598494,0.0063496308849248,,13.345231942966045,35.98764213953177,,,
38,38,0.02,1262,2,300000.0,1.51490270238743,,8198.0,2.732666666666667,1262.0,0.0905511132659739,0.011212264201313,0.006256004980611,,13.93688000602657,38.08484742980194,,,
39,39,0.02,1282,2,300000.0,1.52531141053088,,8232.0,2.744,1282.0,0.0784664630539282,0.0100298188345016,0.0063363675195958,,16.338190229358375,44.831993989359376,,,
40,40,0.02,1302,2,300000.0,1.53529692139643,,8327.0,2.7756666666666665,1302.0,0.0840059433521673,0.0106946990058157,0.0065942844364945,,15.498903387606662,43.019789502866885,,,
41,41,0.02,1322,2,300000.0,1.54611350370685,,8311.0,2.7703333333333333,1322.0,0.0991032862229985,0.010560986194387,0.0063616905523686,,13.3396181941463,36.9551889371833,,,
