,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
26,26,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.0,0.0,0.0,,10951.0,5.4755,500.0,0.0436404189053405,0.0093308345516438,0.0089052806008913,75960534110512.14,11.457268572158734,62.73427406685515,870300240188762.2,0.0016482762869921,0.0009216900700667
27,27,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.2,0.3,,10638.0,5.319,500.0,0.0443364513456572,0.010636249418365,0.0095801946389461,73789440404312.67,11.27740233655338,59.98450302812743,832153207628562.1,0.0016011654772187,0.0008953464492165
28,28,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.2,0.1,,10754.0,5.377,500.0,0.0426046626521952,0.0123998665815688,0.0098537401058056,74594062991913.75,11.7358046954102,63.10342184722064,875421354710225.5,0.001618625074451,0.0009051095802664
29,29,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.2,0.0,,10669.0,5.334499999999999,500.0,0.0419362372958858,0.0109259906985629,0.0096954375280349,74004468854447.44,11.92286271350942,63.602511145216,882345122337760.6,0.0016058314040653,0.0008979555618247
30,30,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.05,0.3,,10629.0,5.3145,500.0,0.0423950284608167,0.0100612484425803,0.0095240130936186,73727012789757.4,11.793835696138771,62.6783398071295,869524275209520.6,0.0015998108532955,0.0008945889649109
31,31,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.05,0.1,,10775.0,5.3875,500.0,0.0449572377443701,0.0096702363769903,0.0090514363375763,74739727425876.02,11.121679735819932,59.918049576729885,831231311973070.5,0.0016217858636052,0.0009068770436462
32,32,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.05,0.0,,10821.0,5.4105,500.0,0.0445337693198553,0.0093878028556114,0.0096731928263096,75058801900269.55,11.22743499228294,60.74603702574685,842717818933919.6,0.0016287094969904,0.000910748630097
33,33,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.0,0.3,,10722.0,5.361,500.0,0.0464367713190085,0.010312568501282,0.0094733418780736,74372098140161.72,10.7673291186661,57.723651405168965,800788857920856.2,0.0016138086338352,0.0009024163027354
34,34,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.0,0.1,,10807.0,5.4035,500.0,0.0433269491139753,0.0095882876585698,0.009619789871246,74961692277628.03,11.540161729013173,62.357263902722686,865070052364345.4,0.001626602304221,0.0009095703211772
35,35,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.3,0.0,0.0,,10638.0,5.319,500.0,0.0460196897963101,0.0104321633378452,0.0094604082665036,73789440404312.67,10.864914609661067,57.790480808787215,801715969087531.4,0.0016011654772187,0.0008953464492165
36,36,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.2,0.3,,10629.0,5.3145,500.0,0.0420762973810724,0.0111013786596019,0.0093769774949856,73727012789757.4,11.883174878047123,63.15313288938144,876110986216704.2,0.0015998108532955,0.0008945889649109
37,37,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.2,0.1,,10762.0,5.380999999999999,500.0,0.0421692574386725,0.0108929684461339,0.0097111320384716,74649554204851.75,11.856979002467824,63.80240401227936,885118196750510.9,0.001619829184605,0.0009057828996492
38,38,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.2,0.0,,10955.0,5.4775,500.0,0.0415611891212392,0.0106039486997943,0.0094810446271925,75988279716981.12,12.030454627788348,65.89681522371068,914173551378831.0,0.0016488783420691,0.0009220267297581
39,39,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.05,0.3,,10917.0,5.4585,500.0,0.04325190770885,0.0100863529103844,0.0093385553430413,75724696455525.61,11.560183734917482,63.10126291704708,875391404296730.8,0.0016431588188378,0.00091882846269
40,40,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.05,0.1,,10748.0,5.3740000000000006,500.0,0.0422921511939193,0.0096908959516395,0.0095650954981566,74552444582210.25,11.8225246501977,63.53424747016245,881398113805678.8,0.0016177219918356,0.0009046045907294
41,41,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.05,0.0,,10820.0,5.41,500.0,0.04120571902979,0.0103240979734829,0.0097349682744945,75051865498652.3,12.134237959505572,65.64622736092515,910697195265453.2,0.0016285589832211,0.0009106644651741
42,42,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.0,0.3,,10702.0,5.351,500.0,0.0409180297568809,0.0099976033076385,0.0097625361582393,74233370107816.72,12.219552186916273,65.38682375218897,907098540043136.8,0.0016107983584503,0.0009007330042785
43,43,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.0,0.1,,10796.0,5.398,500.0,0.0466471653803068,0.0103537937740114,0.0094977972361239,74885391859838.28,10.718764922232248,57.85989305020968,802678911454851.0,0.0016249466527593,0.0009086445070259
44,44,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.1,0.0,0.0,,10831.0,5.4155,500.0,0.0447292919826622,0.0095388364167792,0.0099962690710046,75128165916442.05,11.178357131022937,60.5363930430547,839809469212734.1,0.0016302146346828,0.0009115902793254
45,45,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.2,0.3,,10823.0,5.4115,500.0,0.0431470705898959,0.0108022770568264,0.0094251503489813,75072674703504.05,11.58827223179059,62.70993518233479,869962591632863.9,0.0016290105245289,0.0009109169599427
46,46,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.2,0.1,,10814.0,5.407,500.0,0.0414206246909998,0.0115394425258902,0.0095856290808502,75010247088948.78,12.071281003848394,65.26941638780826,905469770778801.8,0.0016276559006057,0.0009101594756371
47,47,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.2,0.0,,10711.0,5.3555,500.0,0.0468867835054993,0.0109601667040596,0.0094326542458968,74295797722371.97,10.663985938411727,57.110976693164005,792289342194456.8,0.0016121529823735,0.0009014904885841
48,48,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.05,0.3,,10895.0,5.447500000000001,500.0,0.0422211433127586,0.010235471135845,0.0099487945761651,75572095619946.11,11.842407873614055,64.51151689151257,894955580195164.0,0.0016398475159145,0.0009169768343875
49,49,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.05,0.1,,10752.0,5.376,500.0,0.0441629996057031,0.0106396178759432,0.0098030219397067,74580190188679.25,11.321694732334958,60.86543088103274,844374146395709.1,0.0016183240469125,0.0009049412504207
50,50,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.05,0.0,,10654.0,5.327,500.0,0.0434538173562941,0.0110329874859928,0.009646093667305,73900422830188.67,11.506468946106905,61.29496007591148,850332920399735.6,0.0016035736975266,0.000896693087982
51,51,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.0,0.3,,10767.0,5.3835,500.0,0.041023016604015,0.0109813889283181,0.0094817965184463,74684236212938.0,12.188279687629384,65.61560369835279,910272359220267.2,0.0016205817534512,0.0009062037242634
52,52,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.0,0.1,,10823.0,5.4115,500.0,0.0436754404757948,0.011286602533644,0.0096094149579203,75072674703504.05,11.448081451567786,61.95129277515908,859438094792766.8,0.0016290105245289,0.0009109169599427
53,53,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.05,0.0,0.0,0.0,,10774.0,5.3870000000000005,500.0,0.0423962816591938,0.0107581867829538,0.0097518397594597,74732791024258.77,11.793487080289092,63.53151490151734,881360205418540.4,0.0016216353498359,0.0009067928787233
54,54,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.2,0.3,,10905.0,5.4525,500.0,0.0487222071621999,0.0111951935555595,0.0100870943387404,75641459636118.6,10.262260868754598,55.95497738688445,776252391279220.2,0.0016413526536069,0.0009178184836159
55,55,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.2,0.1,,10769.0,5.3845,500.0,0.0419524941534064,0.0114022869224759,0.0096718067852798,74698109016172.52,11.91824252860069,64.17377689525041,890270179682597.9,0.0016208827809897,0.0009063720541091
56,56,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.2,0.0,,10697.0,5.3485,500.0,0.0441232153989403,0.0103941980417339,0.0096532478709133,74198688099730.45,11.33190306914957,60.60868356534648,840812341404207.2,0.0016100457896041,0.0009003121796643
57,57,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.05,0.3,,10585.0,5.2925,500.0,0.0426793001967098,0.0106242361119549,0.0096861156688876,73421811118598.39,11.715281124467571,62.00312535124464,860157157921939.0,0.0015931882474488,0.0008908857083058
58,58,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.05,0.1,,10877.0,5.4385,500.0,0.0423722888680231,0.0099790582022112,0.0100885013243016,75447240390835.58,11.800164998340042,64.17519734347232,890289885281285.1,0.0016371382680681,0.0009154618657763
59,59,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.05,0.0,,10642.0,5.321,500.0,0.0421594888305207,0.0104458270996856,0.0100998249869838,73817186010781.67,11.859726336103767,63.10560383440814,875451624989138.0,0.0016017675322957,0.0008956831089079
60,60,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.3,0.0,0.3,,10919.0,5.459499999999999,500.0,0.0430071008913728,0.0113543173914144,0.0100567184219333,75738569258760.1,11.62598709601231,63.4720765506792,880535628872779.4,0.0016434598463763,0.0009189967925357
