,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
128,128,0.02,4220,2,500000.0,4.54014619807071,,5330.0,1.066,,2110.0,0.10552616006543757,0.009388658701110105,0.0035854182703608374,10.042056259559944,21.41274019243637,
129,129,0.02,4260,2,500000.0,4.63698373150229,,5270.75,1.05415,,2130.0,0.10905502724244796,0.009652526264800596,0.003600633935376592,9.77360360214523,20.61154836394868,
130,130,0.02,4300,2,500000.0,4.67799535753017,,5144.25,1.0288499999999998,,2150.0,0.10476487907885712,0.008954893084317041,0.003830862647897692,10.264413086130393,21.125545609667025,
131,131,0.02,4340,2,500000.0,4.76956602764708,,5029.5,1.0059,,2170.0,0.11328377275890487,0.009185324500162937,0.0035300928843879694,9.578038864149157,19.2688656575996,
132,132,0.02,4380,2,500000.0,4.82902597469063,,4934.0,0.9868,,2190.0,0.10882311596242288,0.009126709875956231,0.0035336053226693405,10.090939505833664,19.914831983735496,
133,133,0.02,4420,2,500000.0,4.85299849190085,,4782.25,0.95645,,2210.0,0.11738571492992377,0.009510706542657437,0.003528902681418019,9.460847030035104,18.09584551865896,
134,134,0.02,4460,2,500000.0,4.96126439299933,,4678.75,0.93575,,2230.0,0.11638095528655867,0.009620769969284713,0.003639697464003056,9.588407793980862,17.94155970518181,
135,135,0.02,4500,2,500000.0,5.03390777967259,,4536.25,0.90725,,2250.0,0.12221659709166488,0.009409599057524552,0.003519641595477108,9.218484600025704,16.716668690622285,
136,136,0.02,4540,2,500000.0,5.13327980426306,,4476.25,0.8952499999999999,,2270.0,0.11596830827829761,0.0092916060404715,0.0036747377367898127,9.797670085086384,17.53788198402332,
137,137,0.02,4580,2,500000.0,5.1915616530718,,4274.25,0.85485,,2290.0,0.12440132634537804,0.008767937393569847,0.003620349382491895,9.204354219932164,15.73686964071556,
138,138,0.02,4620,2,500000.0,5.27607950618037,,4161.25,0.83225,,2310.0,0.12748471207919465,0.008734481981299672,0.003700891040724583,9.064627964597584,15.085695002017738,
139,139,0.02,4660,2,500000.0,5.31403296323338,,4031.75,0.8063500000000001,,2330.0,0.13293154871143997,0.009326099167411539,0.0035275693107777654,8.787327899442834,14.169826691273496,
140,140,0.02,4700,2,500000.0,5.37696098997247,,3847.0,0.7693999999999999,,2350.0,0.12725011316592827,0.008378402602390006,0.003633954343005704,9.25845920799567,14.249115707503464,
141,141,0.02,4740,2,500000.0,5.46576162053198,,3688.5,0.7377,,2370.0,0.1324134886333468,0.009147223063885056,0.003566816759624508,8.959781688571514,13.227006845735728,
142,142,0.02,4780,2,500000.0,5.50107846400201,,3519.75,0.7039500000000001,,2390.0,0.13438340697257445,0.008644318189454889,0.0034867429391811427,8.897421211140937,12.528589900357424,
143,143,0.02,4820,2,500000.0,5.60158436369854,,3448.75,0.6897500000000001,,2410.0,0.1322465856767394,0.009605416453537807,0.0035173591938531153,9.155099795341469,12.632420500921704,
144,144,0.02,4860,2,500000.0,5.68579300733066,,3292.25,0.65845,,2430.0,0.13412408333920212,0.00867781052084933,0.0034992192222228287,9.074088704623795,11.950002899917024,
145,145,0.02,4900,2,500000.0,5.70607918152316,,3071.5,0.6143,,2450.0,0.1361282066225158,0.008586544204488454,0.0036967803348124926,9.034427599582674,11.10060460432177,
146,146,0.02,4940,2,500000.0,5.79187090357445,,2996.75,0.59935,,2470.0,0.13381403002199477,0.00846451149035638,0.0035836764700777303,9.230230014558183,11.06303522396714,
147,147,0.02,4980,2,500000.0,5.85260940838092,,2882.0,0.5764,,2490.0,0.13109144482586998,0.009421640613151256,0.00342211163030566,9.575294217416781,11.04237730180435,
148,148,0.02,5020,2,500000.0,5.88370805533401,,2700.5,0.5401,,2510.0,0.13814372933393315,0.00985821933939035,0.003435151478359851,9.093960217920126,9.819473764771123,
149,149,0.02,5060,2,500000.0,5.97762364573449,,2589.0,0.5178,,2530.0,0.14468650058802268,0.009327651624768712,0.003531923857331386,8.751231207214408,9.059776557266817,
150,150,0.02,5100,2,500000.0,5.98566522431033,,2448.5,0.4897,,2550.0,0.15295254083684995,0.008575399306049121,0.003513972953444233,8.3376382742665,8.167008346111698,
