,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
42,42,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,0.5,12237.3,3.0593250000000007,500.0,0.0372775218571211,0.0073893803853404,0.0098560330544605,-0.0007455345044662,2.743874792021796e-06,42441413755390.84,13.463273351565356,41.19043898446865,571426855174267.0,0.0009209410741853,0.0005149757051605
43,43,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,0.5,12243.72,3.060929999999999,500.0,0.0370779660937262,0.007627667739012,0.009853940698959,-0.0007409982553033,1.3160176375779373e-06,42463679604582.2,13.547189339142758,41.468676211206144,575286785473309.9,0.0009214242233846,0.0005152458745629
44,44,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,,0.5,12219.74,3.054935000000001,500.0,0.0376021350173107,0.0075816719220819,0.0098485361677575,-0.0007461602675046,7.867886698317828e-07,42380512149191.38,13.359321690422917,40.81234511183917,566181633275107.9,0.0009196195632914,0.000514236737138
45,45,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,0.5,12211.4,3.052849999999999,500.0,0.0376793688056534,0.0073882163342938,0.0098546145148552,-0.000748809233613,3.131954605398484e-07,42351587354447.43,13.3233168830093,40.6735642447035,564256353612621.0,0.0009189919208736,0.0005138857694097
46,46,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,0.5,12244.82,3.061205000000001,500.0,0.0370536172636229,0.0073553908463221,0.0098648859364683,-0.000747590584194,1.6036818142854288e-06,42467494625471.69,13.527893022093416,41.409035019488805,574459394955943.5,0.0009215070059577,0.0005152921652704
47,47,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,,0.5,12218.02,3.054505,500.0,0.0371321527853626,0.0073558132031755,0.0098679137974348,-0.0007414336336917,9.107400905843056e-07,42374546843800.54,13.53617015757094,41.35146072683958,573660678122655.6,0.0009194901214498,0.0005141643553043
48,48,0.03,500.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,12232.2,3.0580500000000006,500.0,0.0377060295275896,0.0075138302111275,0.0099502553222815,-0.0007424995788453,1.8717301185855e-06,42423725931266.85,13.30704357507375,40.69480932263024,564551082398400.4,0.0009205572640738,0.0005147610846073
49,49,0.03,750.0,10,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17789.04,4.447259999999999,750.0,0.069332127205605,0.0074266496915134,0.0098643489780366,-0.0007005658520389,-3.751826865950533e-06,50299687006368.53,10.84645135198047,48.23750547784301,545578946925408.25,0.0016432925868642,0.0009290446850438
50,50,0.03,750.0,10,1,400000.0,0.5,1.5,0.05,0.5,0.05,0.5,1.0,0.3,0.05,0.1,0.05,0.1,,0.75,17748.3,4.437075000000001,750.0,0.0701483950737838,0.0091552747925328,0.009690342375681,-0.0006761681622686,5.319758196900813e-06,50184491962193.04,10.722556851096902,47.57862052356094,538126783801688.9,0.0016395291606204,0.000926917010899
51,51,0.03,750.0,10,1,400000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,17788.78,4.447194999999999,750.0,0.0703162042020858,0.0076061957007912,0.0098610760706499,-0.0006869640006236,1.7836567720838775e-06,50298951839174.49,10.704476054628062,47.60624792196746,538439256985772.3,0.0016432685689255,0.0009290311063674
