,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
561,561,0.04,1900,2.25,1,500000.0,,500000.0,100.0,,1900.0,1.899648909590724,0.1787628237108314,0.029043457191685097,1.0001848320058206,100.01848320058204,
562,562,0.04,1900,3.0,1,500000.0,,500000.0,100.0,,1900.0,1.8997419161672724,0.1782631922355718,0.029427294211657712,1.0001358564663119,100.01358564663118,
563,563,0.04,1900,5.0,1,500000.0,,500000.0,100.0,,1900.0,1.8997088353008849,0.17646265093955163,0.029389075587227167,1.0001532705946359,100.01532705946356,
564,564,0.04,1910,1.5,1,500000.0,,500000.0,100.0,,1910.0,1.909431107643513,0.17582136420522793,0.029482147640174896,1.0002979420955747,100.02979420955744,
565,565,0.04,1910,2.25,1,500000.0,,500000.0,100.0,,1910.0,1.909318129206213,0.17730475565741355,0.02947554923618204,1.0003571509901323,100.03571509901325,
566,566,0.04,1910,3.0,1,500000.0,,500000.0,100.0,,1910.0,1.9095415572070351,0.1779523046481844,0.029083776051904993,1.000240085028372,100.0240085028372,
567,567,0.04,1910,5.0,1,500000.0,,500000.0,100.0,,1910.0,1.909005412836564,0.17634749087011745,0.029702456889672685,1.0005211000241048,100.05211000241049,
568,568,0.04,1920,1.5,1,500000.0,,500000.0,100.0,,1920.0,1.9155883520141967,0.1791145285570915,0.029365028457615006,1.0023077371905396,100.23077371905399,
569,569,0.04,1920,2.25,1,500000.0,,500000.0,100.0,,1920.0,1.9185659503190209,0.17423159076361838,0.02941316805207759,1.0007479190597115,100.07479190597115,
570,570,0.04,1920,3.0,1,500000.0,,500000.0,100.0,,1920.0,1.9197401338589088,0.17509212781231673,0.029360850227431227,1.0001353664753732,100.01353664753732,
571,571,0.04,1920,5.0,1,500000.0,,500000.0,100.0,,1920.0,1.9196583751305525,0.17473130243821494,0.029445558057617144,1.0001779693520267,100.01779693520272,
572,572,0.04,1930,1.5,1,500000.0,,500000.0,100.0,,1930.0,1.9296419772210809,0.17829139005508343,0.029553434309976066,1.0001855409254,100.01855409254,
573,573,0.04,1930,2.25,1,500000.0,,500000.0,100.0,,1930.0,1.9298355530377196,0.17888293113687653,0.02934187923793303,1.0000852131882227,100.00852131882228,
574,574,0.04,1930,3.0,1,500000.0,,500000.0,100.0,,1930.0,1.9291216709478929,0.17851910572156665,0.029588442694001373,1.000455333901218,100.0455333901218,
575,575,0.04,1930,5.0,1,500000.0,,500000.0,100.0,,1930.0,1.929597389055516,0.17808473779264888,0.029529612656731007,1.0002086531655032,100.02086531655031,
576,576,0.04,1940,1.5,1,500000.0,,500000.0,100.0,,1940.0,1.9397360032304505,0.17737634420573517,0.02875708672032388,1.0001361005751837,100.01361005751836,
577,577,0.04,1940,2.25,1,500000.0,,500000.0,100.0,,1940.0,1.936143326610136,0.17456146266038935,0.029211581891087048,1.0019955172984063,100.19955172984064,
578,578,0.04,1940,3.0,1,500000.0,,500000.0,100.0,,1940.0,1.9398001652340329,0.17811680650891995,0.029074761688001008,1.000103019381918,100.0103019381918,
579,579,0.04,1940,5.0,1,500000.0,,500000.0,100.0,,1940.0,1.9388494806330527,0.17718509437867208,0.029284738557190906,1.0005936118866847,100.05936118866845,
580,580,0.04,1950,1.5,1,500000.0,,500000.0,100.0,,1950.0,1.946587782370784,0.1785142834968228,0.029297542006327486,1.0017530634310428,100.17530634310428,
581,581,0.04,1950,2.25,1,500000.0,,500000.0,100.0,,1950.0,1.9469848978085336,0.17779256300832974,0.02943344615343125,1.0015494080188911,100.15494080188913,
582,582,0.04,1950,3.0,1,500000.0,,500000.0,100.0,,1950.0,1.9495766397650411,0.17742182126082015,0.029202003662598723,1.0002171573492542,100.0217157349254,
583,583,0.04,1950,5.0,1,500000.0,,500000.0,100.0,,1950.0,1.947744373561932,0.17744707578629024,0.029167176734967548,1.001158864300883,100.11588643008828,
584,584,0.04,1960,1.5,1,500000.0,,500000.0,100.0,,1960.0,1.959734586840796,0.17777473379824144,0.029477138135779127,1.0001354332168626,100.01354332168624,
585,585,0.04,1960,2.25,1,500000.0,,500000.0,100.0,,1960.0,1.9597673898537091,0.1781371795255871,0.02885800500416021,1.0001186930471784,100.01186930471786,
586,586,0.04,1960,3.0,1,500000.0,,500000.0,100.0,,1960.0,1.9595728603693487,0.17438147187093278,0.028933105845797957,1.0002179984928283,100.02179984928281,
587,587,0.04,1960,5.0,1,500000.0,,500000.0,100.0,,1960.0,1.9589125055838397,0.17824647611332556,0.02948144362692314,1.000555356850433,100.05553568504332,
588,588,0.04,1970,1.5,1,500000.0,,500000.0,100.0,,1970.0,1.9682821850007033,0.178036791735943,0.028940037381248167,1.0008731966456939,100.0873196645694,
589,589,0.04,1970,2.25,1,500000.0,,500000.0,100.0,,1970.0,1.9686128302704449,0.1757336670225499,0.028851908192802152,1.0007050051550563,100.07050051550564,
