,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
942,942,0.04,735,3.0,1,500000.0,,1428.4,0.28568000000000005,,735.0,0.06768306630899587,0.017975640876365107,0.014075662076065344,10.87246653355668,3.10639276723892,,,
943,943,0.04,735,5.0,1,500000.0,,894.6,0.17892,,735.0,0.06431151313943247,0.019255240323104612,0.013661775600712212,11.479620223019412,2.0547048374411023,,,
944,944,0.04,736,1.5,1,500000.0,,1134.6,0.22692,,736.0,0.08649932194289249,0.019087579044015,0.013466240718305818,8.549336568778225,1.9390942722019753,,,
945,945,0.04,736,2.25,1,500000.0,,1609.0,0.3218,,736.0,0.07358525622871638,0.019331507215025877,0.013568552581356646,10.091384303954513,3.250464309635285,,,
946,946,0.04,736,3.0,1,500000.0,,1427.4,0.28548,,736.0,0.06501538609818454,0.019758325334714343,0.013204847038443036,11.40549930133356,3.255378601666768,,,
947,947,0.04,736,5.0,1,500000.0,,890.7999999999998,0.17816,,736.0,0.06760130884013052,0.01914176561127474,0.013630375730214252,11.006131283805772,1.9620015352912703,,,
948,948,0.04,737,1.5,1,500000.0,,1116.0,0.2232,,737.0,0.09609187091523379,0.01934987070257973,0.013807434860101697,7.736026465319955,1.7253949194071267,,,
949,949,0.04,737,2.25,1,500000.0,,1662.2,0.33243999999999996,,737.0,0.07021495018013865,0.01981772055065148,0.013434358721947435,10.519460349477868,3.4961267162641905,,,
950,950,0.04,737,3.0,1,500000.0,,1449.2,0.28984,,737.0,0.06577275441829897,0.01906508853717549,0.013553885800430923,11.222702241169012,3.2547613838246945,,,
951,951,0.04,737,5.0,1,500000.0,,876.3999999999999,0.17527999999999996,,737.0,0.0620266528334696,0.0170138184944841,0.013872313365193192,11.953291823971128,2.0946764485277187,,,
952,952,0.04,738,1.5,1,500000.0,,1111.8,0.22236,,738.0,0.09184973730093587,0.017976120614466108,0.013521173448331928,8.037432007718275,1.786792314583542,,,
953,953,0.04,738,2.25,1,500000.0,,1648.0,0.3296,,738.0,0.07370885049997469,0.019739927556581084,0.013893312950401356,10.037691287550574,3.308058648442299,,,
954,954,0.04,738,3.0,1,500000.0,,1420.4,0.28408,,738.0,0.0664306958260795,0.017595719229150007,0.013312750935800099,11.12700392381502,3.1606441312353604,,,
955,955,0.04,738,5.0,1,500000.0,,889.6,0.17792,,738.0,0.06366489346801245,0.017686917912159768,0.012624253120968765,11.648059203196352,2.0705077499291993,,,
956,956,0.04,739,1.5,1,500000.0,,1137.4,0.22748,,739.0,0.08819318012062921,0.016435916785157136,0.014127276283963437,8.429336545600696,1.919355070688192,,,
957,957,0.04,739,2.25,1,500000.0,,1634.6,0.32692,,739.0,0.07046263657696272,0.017376692328153746,0.013607158071918157,10.538792106248488,3.4451267673566446,,,
958,958,0.04,739,3.0,1,500000.0,,1437.8,0.28756,,739.0,0.06687711592269352,0.017560070444870547,0.013482460425198496,11.065666671502841,3.182884969869421,,,
959,959,0.04,739,5.0,1,500000.0,,888.7999999999998,0.17776,,739.0,0.06362695067086861,0.018943801525464588,0.013582534305050126,11.668609045745603,2.0726598532098715,,,
960,960,0.04,740,1.5,1,500000.0,,1161.4,0.23228,,740.0,0.08070169485251881,0.017612039360614666,0.013897629245453152,9.243179663553885,2.145293946502936,,,
961,961,0.04,740,2.25,1,500000.0,,1695.0,0.339,,740.0,0.07664475774893162,0.019749343208445416,0.013902349533916575,9.705798924355433,3.2880826236656104,,,
962,962,0.04,740,3.0,1,500000.0,,1466.0,0.2932,,740.0,0.06459397041114698,0.019342444344135047,0.013487938377092092,11.562234669301468,3.3890100531640983,,,
963,963,0.04,740,5.0,1,500000.0,,923.6,0.18472,,740.0,0.0624986847749824,0.01799798199192543,0.012789515359451407,11.917046325427387,2.1990945347846815,,,
964,964,0.04,741,1.5,1,500000.0,,1138.8,0.22776,,741.0,0.09092340375846104,0.01799297826904265,0.01433177324878614,8.311962950082776,1.894169898831648,,,
965,965,0.04,741,2.25,1,500000.0,,1644.4,0.32888,,741.0,0.06952478021451043,0.01773852580085534,0.013657531923148742,10.676437447948125,3.5110564937958806,,,
966,966,0.04,741,3.0,1,500000.0,,1443.6,0.28872,,741.0,0.06811910486799207,0.020178418659304125,0.014139530887009127,10.920755560823128,3.153434435119287,,,
967,967,0.04,741,5.0,1,500000.0,,951.6,0.19032,,741.0,0.06560171498540512,0.01918548659082444,0.013043136565231034,11.355837720476107,2.161445473840707,,,
968,968,0.04,742,1.5,1,500000.0,,1118.2,0.22364,,742.0,0.09129349363313395,0.01796495811322533,0.013680082550560876,8.18701728456799,1.8307724474497464,,,
969,969,0.04,742,2.25,1,500000.0,,1656.2,0.33124,,742.0,0.07315690788545907,0.019018691047528034,0.013292779429841152,10.232761455514819,3.3937528169861326,,,
970,970,0.04,742,3.0,1,500000.0,,1456.2,0.29124,,742.0,0.0714098445870377,0.018268364149422418,0.013511013940417885,10.401656399854948,3.0318207163331223,,,
971,971,0.04,742,5.0,1,500000.0,,934.8,0.18696,,742.0,0.06251535990886622,0.017843214988326573,0.012722450006815132,11.921341619692752,2.231766910070376,,,
972,972,0.04,743,1.5,1,500000.0,,1140.8,0.22816,,743.0,0.10053470991215364,0.017353990777573276,0.014239522152739707,7.402587724424317,1.6905776082023627,,,
973,973,0.04,743,2.25,1,500000.0,,1668.0,0.3336,,743.0,0.0687455123545078,0.018791445102465925,0.013521622737312156,10.866163115783424,3.623600591076929,,,
