,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
28,28,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,,12080.0,6.039999999999999,500.0,0.0426561742733581,0.0072577697149286,0.0096445401907929,83791731536388.14,11.763835463584542,71.05943208710364,985793519299800.0,0.0018182063324687,0.0010167122679578
29,29,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,12120.25,6.060125,500.0,0.0441290859826778,0.0071645725683918,0.0096418392348125,84070921701482.47,11.352274856436257,68.80002601820709,954449223479160.0,0.0018242645116807,0.0010200999061023
30,30,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,12059.1,6.02955,500.0,0.0420151892219962,0.00721319437482,0.0096411215359436,83646760742587.6,11.932142013006878,71.9527478197738,998186312685418.0,0.0018150605946915,0.0010149532210703
31,31,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,12054.35,6.027175,500.0,0.0419173043966622,0.0073011912630576,0.0096489802706273,83613812834905.66,11.956225433166605,72.07487500332586,999880559072419.4,0.0018143456542876,0.0010145534376868
32,32,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,12052.7,6.026349999999999,500.0,0.0425047231258047,0.0070492107761419,0.0096700592214114,83602367772237.17,11.80624832023084,71.14741428718798,987014079049708.6,0.0018140973065683,0.0010144145655641
33,33,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,11681.1,5.84055,500.0,0.0426160192019238,0.0078186080339455,0.0096422586504813,81024800931266.83,11.750433131421602,68.62761270092257,952057367453464.4,0.0017581663899172,0.0009831388802352
34,34,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,12118.5,6.059249999999999,500.0,0.0422058942473966,0.0071854127579785,0.0097048506289301,84058782998652.3,11.869865411032055,71.92276252250016,997770332556412.8,0.0018240011125846,0.0010199526174873
35,35,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,12114.6,6.0573,500.0,0.0421838668638542,0.0073467381076716,0.0096167613055916,84031731032345.03,11.876351628345962,71.93413509027931,997928101951483.6,0.0018234141088845,0.0010196243742882
36,36,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,12095.5,6.04775,500.0,0.0425537686324474,0.0072515204654825,0.0096233123501161,83899245761455.53,11.792752775422317,71.31466398186276,989334301154962.6,0.0018205392958919,0.0010180168242619
37,37,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,12141.15,6.070575,500.0,0.0422680202925334,0.0072365030896173,0.0096474101479567,84215892495283.03,11.850531693382193,71.94192582498464,998036181281103.0,0.0018274102494579,0.0010218589529897
38,38,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,,12125.15,6.062575000000001,500.0,0.0433369334775164,0.0071352533973186,0.0096462183352275,84104910069407.02,11.56827487430659,70.13525603074895,972972606715954.4,0.00182500202915,0.0010205123142242
39,39,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,12032.65,6.016325,500.0,0.0421666110460847,0.0073700022448538,0.0096348537361862,83463292919811.31,11.882962228987145,71.49649647338626,991856827531507.0,0.001811079505495,0.0010127270588611
40,40,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,,12056.4,6.0282,500.0,0.0424402645409315,0.0071482392613688,0.0096411170647368,83628032458221.02,11.799846985707928,71.12704224643542,986731461736863.4,0.0018146542075145,0.0010147259757787
41,41,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,12097.6,6.048800000000001,500.0,0.042473759608444,0.0073108564295469,0.0096445152198095,83913812204851.75,11.793464114343047,71.32754433692352,989512987786310.4,0.0018208553748074,0.0010181935705998
42,42,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,12082.2,6.041100000000001,500.0,0.0425475433581027,0.0071762900293941,0.009641150569812,83806991619946.08,11.776099873664888,71.14190021781992,986937583450344.4,0.001818537462761,0.001016897430788
43,43,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,12067.15,6.033575,500.0,0.0426621400832743,0.0072506695187288,0.0096442230221049,83702598775606.47,11.74338420627092,70.85739549870141,982990705462725.8,0.0018162722305339,0.0010156307486992
44,44,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,,12088.8,6.0444,500.0,0.0428874303636774,0.0074593985885632,0.0096467143997867,83852771870619.94,11.676590451037017,70.57844923560934,979120938841850.4,0.001819530853638,0.0010174529192788
45,45,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,12102.85,6.051424999999999,500.0,0.0424092511467932,0.0070483869565909,0.0096427314134802,83950228313342.34,11.815461005863709,71.50708103360476,992003665052742.0,0.0018216455720959,0.0010186354364448
46,46,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,12116.35,6.058175,500.0,0.0425439735094101,0.0072146159733631,0.0096473251011613,84043869735175.22,11.765383991834288,71.27524708275402,988787478269512.8,0.0018236775079807,0.0010197716629032
