,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
1418,1418,0.02,4772,2,500000.0,5.50341748279167,,500000.0,100.0,4772.0,4.767375179868395,0.1785644255533639,0.0271730594821698,,1.0009700977911566,100.09700977911568,,,
1419,1419,0.02,4776,2,500000.0,5.52251087964269,,500000.0,100.0,4776.0,4.771707500492994,0.178578304301568,0.0268987799535882,,1.0008995730577708,100.08995730577706,,,
1420,1420,0.02,4780,2,500000.0,5.50107846400201,,500000.0,100.0,4780.0,4.775652913674094,0.1771856186963452,0.0271776877951661,,1.000910260105683,100.0910260105683,,,
1421,1421,0.02,4784,2,500000.0,5.51987109109956,,500000.0,100.0,4784.0,4.782518850927772,0.1756886635992152,0.0270608714160432,,1.0003097006239592,100.03097006239592,,,
1422,1422,0.02,4788,2,500000.0,5.53871563913792,,500000.0,100.0,4788.0,4.7876479992974055,0.1768693499185615,0.0273110841754344,,1.0000735226780764,100.00735226780762,,,
1423,1423,0.02,4792,2,500000.0,5.5165308472682,,500000.0,100.0,4792.0,4.790978492983413,0.1749263557577678,0.027371682447604,,1.0002132146946774,100.02132146946776,,,
1424,1424,0.02,4796,2,500000.0,5.53496272363446,,500000.0,100.0,4796.0,3.259401584630374,0.1782529978153593,0.0275821433123317,,1.4714357453268163,147.1435745326816,,,
1425,1425,0.02,4800,2,500000.0,5.55323408549147,,500000.0,100.0,4800.0,4.79625794616004,0.178275154040531,0.0267377962181827,,1.000780202791836,100.0780202791836,,,
1426,1426,0.02,4804,2,500000.0,5.57144347263523,,500000.0,100.0,4804.0,4.801434106033412,0.1775549891111082,0.0274939770096959,,1.0005344015787625,100.05344015787628,,,
1427,1427,0.02,4808,2,500000.0,5.58969241095798,,500000.0,100.0,4808.0,4.807515181531926,0.1756357727662136,0.0272298917130858,,1.0001008459567504,100.01008459567504,,,
1428,1428,0.02,4812,2,500000.0,5.60776990812506,,500000.0,100.0,4812.0,4.801436750452922,0.1718326455740344,0.0272573807330872,,1.002200018472821,100.2200018472821,,,
1429,1429,0.02,4816,2,500000.0,5.58384346440811,,500000.0,100.0,4816.0,4.81431800513019,0.1791423639044099,0.0271631490531309,,1.00034937344563,100.034937344563,,,
1430,1430,0.02,4820,2,500000.0,5.60158436369854,,500000.0,100.0,4820.0,4.819026973725158,0.1748240091885695,0.0269812587507461,,1.0002019134319329,100.02019134319328,,,
1431,1431,0.02,4824,2,500000.0,5.6192501420806,,500000.0,100.0,4824.0,4.823503908799466,0.1795539829954231,0.0270076328104093,,1.0001028487195025,100.01028487195023,,,
1432,1432,0.02,4828,2,500000.0,5.63683783341559,,500000.0,100.0,4828.0,4.82569126850467,0.1740304062719816,0.0269529190159152,,1.0004784250311245,100.04784250311242,,,
1433,1433,0.02,4832,2,500000.0,5.61178978301531,,500000.0,100.0,4832.0,4.825640593828211,0.1779968496811441,0.0274313850658477,,1.0013178366784967,100.13178366784967,,,
1434,1434,0.02,4836,2,500000.0,5.62892041107954,,500000.0,100.0,4836.0,4.831546581444854,0.1762312043502705,0.0271861648749451,,1.0009217376837989,100.09217376837984,,,
1435,1435,0.02,4840,2,500000.0,5.64596423520441,,500000.0,100.0,4840.0,4.829147423042741,0.1779562701872608,0.0272837049850876,,1.002247307030942,100.2247307030942,,,
1436,1436,0.02,4844,2,500000.0,5.66291825693059,,500000.0,100.0,4844.0,4.839383486161751,0.1753392278950085,0.0275853119902038,,1.000953946685864,100.0953946685864,,,
1437,1437,0.02,4848,2,500000.0,5.63675358463856,,500000.0,100.0,4848.0,4.847256830164042,0.178144952838869,0.0268157815904433,,1.0001533176107635,100.01533176107634,,,
1438,1438,0.02,4852,2,500000.0,5.65323565772375,,500000.0,100.0,4852.0,4.832822128756561,0.1783323397185787,0.0272202690115841,,1.0039682551379918,100.3968255137992,,,
1439,1439,0.02,4856,2,500000.0,5.66961940354871,,500000.0,100.0,4856.0,4.854199316077938,0.1765108817153672,0.0270942732075498,,1.0003709538494014,100.03709538494014,,,
1440,1440,0.02,4860,2,500000.0,5.68579300733066,,500000.0,100.0,4860.0,4.859022677284884,0.1791556630844449,0.0273700719753125,,1.0002011356562883,100.02011356562886,,,
1441,1441,0.02,4864,2,500000.0,5.65852190342792,,500000.0,100.0,4864.0,4.838893646213364,0.1771309332899717,0.0271417257964134,,1.005188449183272,100.5188449183272,,,
1442,1442,0.02,4868,2,500000.0,5.67431809448433,,500000.0,100.0,4868.0,4.865023275504427,0.1759653850246025,0.0271006545654599,,1.0006118623338476,100.06118623338476,,,
1443,1443,0.02,4872,2,500000.0,5.68989557119815,,500000.0,100.0,4872.0,4.86929233059891,0.19945744115224,0.0270538331263352,,1.00055607041378,100.055607041378,,,
1444,1444,0.02,4876,2,500000.0,5.6619115861617,,500000.0,100.0,4876.0,4.8751704442383925,0.1791706578853734,0.0271135157700965,,1.000170159335165,100.0170159335165,,,
1445,1445,0.02,4880,2,500000.0,5.67699614247359,,500000.0,100.0,4880.0,4.879337389856119,0.1773335400325552,0.030409818051609,,1.0001357992061093,100.01357992061092,,,
1446,1446,0.02,4884,2,500000.0,5.69196178979214,,500000.0,100.0,4884.0,4.881057693608454,0.1768239300417632,0.0270158134579352,,1.000602800986229,100.06028009862288,,,
1447,1447,0.02,4888,2,500000.0,5.70680556443083,,500000.0,100.0,4888.0,4.887336308721388,0.1783896781425996,0.0275361616131643,,1.00013579816012,100.013579816012,,,
1448,1448,0.02,4892,2,500000.0,5.72152449543742,,500000.0,100.0,4892.0,4.888351130940464,0.176952118832923,0.0269075172879507,,1.0007464416859175,100.07464416859176,,,
1449,1449,0.02,4896,2,500000.0,5.69197928332433,,500000.0,100.0,4896.0,4.891152918609805,0.1754199365348289,0.0273084142102736,,1.0009909895419038,100.0990989541904,,,
1450,1450,0.02,4900,2,500000.0,5.70607918152316,,500000.0,100.0,4900.0,4.898284217608307,0.1758595486694486,0.0273565214281893,,1.000350282326519,100.03502823265188,,,
1451,1451,0.02,4904,2,500000.0,5.72004546624332,,500000.0,100.0,4904.0,4.902687412271916,0.1797177235880989,0.0270136517832051,,1.0002677282106132,100.02677282106131,,,
1452,1452,0.02,4908,2,500000.0,5.73398651030738,,500000.0,100.0,4908.0,4.907645016442984,0.1786214900099865,0.0269569000461162,,1.0000723327697554,100.00723327697555,,,
1453,1453,0.02,4912,2,500000.0,5.74756554844647,,500000.0,100.0,4912.0,4.911661471720436,0.179775160748351,0.027103839214933,,1.000068923373794,100.0068923373794,,,
1454,1454,0.02,4916,2,500000.0,5.7611135223361,,500000.0,100.0,4916.0,4.91563645212409,0.1757402882170723,0.0273873317886119,,1.0000739574375466,100.00739574375466,,,
1455,1455,0.02,4920,2,500000.0,5.77440316264329,,500000.0,100.0,4920.0,4.919337051246657,0.1797363348410454,0.0266764697705816,,1.0001347638404192,100.01347638404192,,,
1456,1456,0.02,4924,2,500000.0,5.78742980695119,,500000.0,100.0,4924.0,4.923670861621758,0.1770557186824507,0.0269979432389734,,1.0000668481682655,100.00668481682656,,,
1457,1457,0.02,4928,2,500000.0,5.80041729773003,,500000.0,100.0,4928.0,4.927464952785158,0.1791425639372703,0.0271417535242063,,1.0001085846819753,100.01085846819753,,,
1458,1458,0.02,4932,2,500000.0,5.81313487450946,,500000.0,100.0,4932.0,4.93166891382225,0.179511034641463,0.0272875016392897,,1.0000671347131236,100.00671347131237,,,
1459,1459,0.02,4936,2,500000.0,5.77981050647594,,500000.0,100.0,4936.0,4.935128979863293,0.175310962924026,0.026436218573434,,1.0001764938951463,100.01764938951465,,,
1460,1460,0.02,4940,2,500000.0,5.79187090357445,,500000.0,100.0,4940.0,4.93933767785984,0.1773389615620352,0.0271376780112989,,1.000134091285787,100.0134091285787,,,
