,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
78,78,0.05,830,2.25,1,500000.0,,264.12,0.052824,,166.0,0.017154112575299224,0.002170054691506084,0.002258496921545939,1.9399144582056569,0.5117222186067403,
79,79,0.05,840,2.25,1,500000.0,,282.44,0.056488,,168.0,0.017581112068533,0.0019466553392339832,0.002335391851200354,1.9167637993828837,0.5417304843398012,
80,80,0.05,850,2.25,1,500000.0,,282.32,0.056464,,170.0,0.017286153375061987,0.0019120586878569568,0.0022114159437895326,1.986749321570686,0.561552400295062,
81,81,0.05,860,2.25,1,500000.0,,288.88,0.057776,,172.0,0.01711834763065326,0.001834599411382824,0.0022921019986431334,2.0185985068732886,0.5832253641260614,
82,82,0.05,870,2.25,1,500000.0,,290.16,0.05803199999999999,,174.0,0.018538319726062583,0.0021243069658093785,0.002284593716156732,1.88862127067005,0.5486098422405884,
83,83,0.05,880,2.25,1,500000.0,,298.52,0.059704,,176.0,0.01818280070645869,0.0019047485756947763,0.002314402000057205,1.9371781425564003,0.5782981004977411,
84,84,0.05,890,2.25,1,500000.0,,309.2,0.061840000000000006,,178.0,0.016775823792631855,0.0019979866718052835,0.002227158543349592,2.147667003582588,0.6651553560402822,
85,85,0.05,900,2.25,1,500000.0,,317.6,0.06352,,180.0,0.018528982388979785,0.00203312658433026,0.0022226754594524443,1.9468365367218248,0.6181491389800199,
86,86,0.05,910,2.25,1,500000.0,,322.08000000000004,0.064416,,182.0,0.018998673684632195,0.0020603542811693447,0.002232404057036512,1.9300320520178835,0.6217180080483833,
87,87,0.05,920,2.25,1,500000.0,,326.88,0.06537599999999999,,184.0,0.018839260806080345,0.0021863047311051743,0.0022267010844781022,1.9614884704118256,0.6413923136404789,
88,88,0.05,930,2.25,1,500000.0,,332.16,0.066432,,186.0,0.020300033307808007,0.002046914816228069,0.0022816332734769467,1.836735452313532,0.6093339424400889,
89,89,0.05,940,2.25,1,500000.0,,331.8,0.06636,,188.0,0.02051733868269366,0.0018871077642022675,0.0022950498844729614,1.8388134671382432,0.6108254177679774,
90,90,0.05,950,2.25,1,500000.0,,339.36,0.067872,,190.0,0.02005292240737617,0.0020584848104012905,0.0023010194332974167,1.918018182883357,0.649500470820424,
91,91,0.05,960,2.25,1,500000.0,,348.36,0.069672,,192.0,0.020999824367927432,0.0021213428434986178,0.00221786632631992,1.8334448219490305,0.6383915684202873,
92,92,0.05,970,2.25,1,500000.0,,350.0,0.06999999999999999,,194.0,0.020329347110960044,0.0020664487649282655,0.002212099647518393,1.9251032087399635,0.6745604261053579,
93,93,0.05,980,2.25,1,500000.0,,360.0,0.072,,196.0,0.021000412287285143,0.001985254732679212,0.002262085816421281,1.869038786331572,0.6728144702031891,
94,94,0.05,990,2.25,1,500000.0,,369.64,0.07392799999999998,,198.0,0.02078137401304502,0.0020758249074785406,0.0022869289683388728,1.916556962625836,0.7078909763972524,
95,95,0.05,1000,2.25,1,500000.0,,377.36,0.07547200000000001,,200.0,0.021661541716616738,0.002217836652335141,0.002179610613081303,1.860644903659196,0.7018453469928356,
96,96,0.05,1010,2.25,1,500000.0,,371.64,0.07432799999999998,,202.0,0.021666186099150764,0.001913862309469565,0.0023160934377346766,1.892581250583152,0.7031949306285983,
97,97,0.05,1020,2.25,1,500000.0,,379.56,0.075912,,204.0,0.02273802763942968,0.0020878794107142295,0.002286238263422384,1.800347837517846,0.6832842121831082,
98,98,0.05,1030,2.25,1,500000.0,,381.84,0.07636800000000003,,206.0,0.023890867040317967,0.00198492539336002,0.002265803075588672,1.735523856598602,0.6638371198625528,
99,99,0.05,1040,2.25,1,500000.0,,391.8,0.07836,,208.0,0.02396498332932424,0.0019672297064738022,0.0022752454223568066,1.7398615519118747,0.6812114750605025,
100,100,0.05,1050,2.25,1,500000.0,,397.08,0.079416,,210.0,0.02353049071247369,0.0021144113128449696,0.0022976553275236822,1.7974911140280745,0.7149014098869388,
101,101,0.05,1060,2.25,1,500000.0,,402.12,0.08042400000000001,,212.0,0.02404689057692849,0.0021053554736918897,0.0023037481280268023,1.7751051287204695,0.7132744954097132,
102,102,0.05,1070,2.25,1,500000.0,,409.52,0.081904,,214.0,0.02508834954491249,0.0019580337967808224,0.0022875876094317106,1.7119976920891706,0.700774230098736,
103,103,0.05,1080,2.25,1,500000.0,,411.24,0.082248,,216.0,0.025352063035761603,0.0020310461467475177,0.002274296305166934,1.706112824315823,0.7013644612441292,
104,104,0.05,1090,2.25,1,500000.0,,414.36,0.082872,,218.0,0.026793805535153297,0.0020402763364986724,0.0022975024418430195,1.6299824384006976,0.6752256061827109,
105,105,0.05,1100,2.25,1,500000.0,,419.64,0.083928,,220.0,0.025472256568864392,0.00204996280010492,0.0022305397027241967,1.7330189731104724,0.7278120615180989,
106,106,0.05,1110,2.25,1,500000.0,,432.6,0.08652000000000001,,222.0,0.0254911030700714,0.0021547925917630223,0.002295287209613293,1.7451146353209543,0.7548605624139283,
107,107,0.05,1120,2.25,1,500000.0,,429.24,0.08584799999999998,,224.0,0.026793817772422696,0.0021036058659538327,0.002314671969527761,1.6732898763539077,0.7181230437289463,
108,108,0.05,1130,2.25,1,500000.0,,431.88,0.08637599999999998,,226.0,0.02724340709408352,0.002092640545410424,0.002264299657078721,1.6676759872710725,0.7199233874877808,
109,109,0.05,1140,2.25,1,500000.0,,435.76,0.08715199999999998,,228.0,0.024828586063322288,0.002175156081842777,0.0022413207201063086,1.8403012922813344,0.801476062439627,
110,110,0.05,1150,2.25,1,500000.0,,443.84,0.08876799999999999,,230.0,0.026577358174945404,0.0021714230214364924,0.002279977967552587,1.7366907590555385,0.7708911690559375,
111,111,0.05,1160,2.25,1,500000.0,,441.24,0.08824799999999998,,232.0,0.028232158746313872,0.0019049898070029692,0.0023175329709583447,1.6462394272278165,0.7265948342848609,
112,112,0.05,1170,2.25,1,500000.0,,436.4,0.08727999999999998,,234.0,0.02743363948570732,0.0020408264075317847,0.002305823674811863,1.707034003452242,0.7449621497960913,
