Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
138,0.05,778,2,500000.0,1.28995378710095
139,0.05,780,2,500000.0,1.29084637328192
140,0.05,782,2,500000.0,1.29164824012589
141,0.05,784,2,500000.0,1.29245061579877
142,0.05,786,2,500000.0,1.29326685540874
143,0.05,788,2,500000.0,1.29414859932067
144,0.05,790,2,500000.0,1.29519742122294
145,0.05,792,2,500000.0,1.29600119569745
146,0.05,794,2,500000.0,1.29690183422233
147,0.05,796,2,500000.0,1.29770587029687
148,0.05,798,2,500000.0,1.29851063884867
149,0.05,800,2,500000.0,1.29941365924252
150,0.05,802,2,500000.0,1.30021834112426
151,0.05,804,2,500000.0,1.30109146940227
152,0.05,806,2,500000.0,1.30192977717907
153,0.05,808,2,500000.0,1.30273523472302
154,0.05,810,2,500000.0,1.30364324447937
155,0.05,812,2,500000.0,1.30444932808101
156,0.05,814,2,500000.0,1.30525570824403
157,0.05,816,2,500000.0,1.30616741790999
158,0.05,818,2,500000.0,1.30697409968417
159,0.05,820,2,500000.0,1.30778091275259
160,0.05,822,2,500000.0,1.30869521201282
161,0.05,824,2,500000.0,1.30950266291593
162,0.05,826,2,500000.0,1.31031008129603
163,0.05,828,2,500000.0,1.3112278617373
164,0.05,830,2,500000.0,1.3120355962641
165,0.05,832,2,500000.0,1.31284381804785
166,0.05,834,2,500000.0,1.31376464441493
167,0.05,836,2,500000.0,1.31457355675456
168,0.05,838,2,500000.0,1.315382107129
169,0.05,840,2,500000.0,1.31630553599908
170,0.05,842,2,500000.0,1.31711516242917
171,0.05,844,2,500000.0,1.31795480027411
172,0.05,846,2,500000.0,1.31885197962638
173,0.05,848,2,500000.0,1.31966185534058
174,0.05,850,2,500000.0,1.32059219216227
175,0.05,852,2,500000.0,1.32140264665985
176,0.05,854,2,500000.0,1.32221884773407
177,0.05,856,2,500000.0,1.32314625583204
178,0.05,858,2,500000.0,1.32395837186324
179,0.05,860,2,500000.0,1.32489377407417
180,0.05,862,2,500000.0,1.3257059739536
181,0.05,864,2,500000.0,1.32634611282785
182,0.05,866,2,500000.0,1.32745767815731
183,0.05,868,2,500000.0,1.32809735468001
184,0.05,870,2,500000.0,1.32890918261099
185,0.05,872,2,500000.0,1.32985216725563
186,0.05,874,2,500000.0,1.33066499138617
187,0.05,876,2,500000.0,1.33157712394971
188,0.05,878,2,500000.0,1.33242460601584
189,0.05,880,2,500000.0,1.33329262758449
190,0.05,882,2,500000.0,1.33418690330805
191,0.05,884,2,500000.0,1.3350018813911
192,0.05,886,2,500000.0,1.33595387436252
193,0.05,888,2,500000.0,1.33684287774441
194,0.05,890,2,500000.0,1.33772361511608
195,0.05,892,2,500000.0,1.33854070982281
196,0.05,894,2,500000.0,1.33949736724061
197,0.05,896,2,500000.0,1.34037504045888
198,0.05,898,2,500000.0,1.34127561580435
199,0.05,900,2,500000.0,1.3422067252821
200,0.05,902,2,500000.0,1.34305723027778
201,0.05,904,2,500000.0,1.34388853234001
202,0.05,906,2,500000.0,1.34484269675661
203,0.05,908,2,500000.0,1.34571264364512
204,0.05,910,2,500000.0,1.34663252605795
205,0.05,912,2,500000.0,1.34753244663371
206,0.05,914,2,500000.0,1.34842556558974
207,0.05,916,2,500000.0,1.34924811240484
208,0.05,918,2,500000.0,1.35022318030645
209,0.05,920,2,500000.0,1.35104631264484
210,0.05,922,2,500000.0,1.35202507217289
211,0.05,924,2,500000.0,1.35284861707109
212,0.05,926,2,500000.0,1.35383093621598
213,0.05,928,2,500000.0,1.35465559010075
214,0.05,930,2,500000.0,1.35564133790432
215,0.05,932,2,500000.0,1.35646694133815
216,0.05,934,2,500000.0,1.3574559834824
217,0.05,936,2,500000.0,1.35828237364387
218,0.05,938,2,500000.0,1.35927457241784
219,0.05,940,2,500000.0,1.36010248136541
220,0.05,942,2,500000.0,1.36109770020853
221,0.05,944,2,500000.0,1.36192697936982
222,0.05,946,2,500000.0,1.36276562632542
223,0.05,948,2,500000.0,1.36375557594781
224,0.05,950,2,500000.0,1.36458533419973
225,0.05,952,2,500000.0,1.36558889687475
226,0.05,954,2,500000.0,1.36641963307448
227,0.05,956,2,500000.0,1.36742666329226
228,0.05,958,2,500000.0,1.36825915849898
229,0.05,960,2,500000.0,1.36926953155921
230,0.05,962,2,500000.0,1.37010270270469
231,0.05,964,2,500000.0,1.37100225690137
232,0.05,966,2,500000.0,1.37195092545958
233,0.05,968,2,500000.0,1.37278537649863
234,0.05,970,2,500000.0,1.3738045156753
235,0.05,972,2,500000.0,1.37464021604122
236,0.05,974,2,500000.0,1.37566321948265
237,0.05,976,2,500000.0,1.37649904869742
238,0.05,978,2,500000.0,1.37752579557062
239,0.05,980,2,500000.0,1.37836355581004
240,0.05,982,2,500000.0,1.37934440695512
241,0.05,984,2,500000.0,1.38023250093147
242,0.05,986,2,500000.0,1.38107949769723
243,0.05,988,2,500000.0,1.38210761710983
244,0.05,990,2,500000.0,1.38294720866426
245,0.05,992,2,500000.0,1.38358167460871
246,0.05,994,2,500000.0,1.38442202842275
247,0.05,996,2,500000.0,1.38546266886296
248,0.05,998,2,500000.0,1.38630433603133
249,0.05,1000,2,500000.0,1.38719560853008
250,0.05,1002,2,500000.0,1.38819192301866
251,0.05,1004,2,500000.0,1.38903383961997
252,0.05,1006,2,500000.0,1.39008454437937
253,0.05,1008,2,500000.0,1.39092846385091
254,0.05,1010,2,500000.0,1.39198300301531
255,0.05,1012,2,500000.0,1.39282774789582
256,0.05,1014,2,500000.0,1.39387537759758
257,0.05,1016,2,500000.0,1.39473250024411
258,0.05,1018,2,500000.0,1.39557884296765
259,0.05,1020,2,500000.0,1.39664356222928
260,0.05,1022,2,500000.0,1.39749037919015
261,0.05,1024,2,500000.0,1.39855963496376
262,0.05,1026,2,500000.0,1.39940786910615
263,0.05,1028,2,500000.0,1.4002952084712
264,0.05,1030,2,500000.0,1.40133109277338
265,0.05,1032,2,500000.0,1.40218130528617
266,0.05,1034,2,500000.0,1.40326093603049
267,0.05,1036,2,500000.0,1.40411224770544
268,0.05,1038,2,500000.0,1.40500559311992
269,0.05,1040,2,500000.0,1.40604835471862
270,0.05,1042,2,500000.0,1.40690115714451
271,0.05,1044,2,500000.0,1.40799052369918
