,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
53,53,0.03,606,2,500000.0,1.22175151083902,,14364.0,0.0096471241105017,606.0,0.0502087422413524,0.0114634726175491,0.0096693620519648,124692632520.92548,12.069611245925463,0.1164370376549509,1504991599758.6133,3.279090075801941e-06,1.869539968852036e-06
54,54,0.03,608,2,500000.0,1.22238215795596,,14350.0,0.0096742931230253,608.0,0.0563383961809904,0.010155480176448,0.0093239095574317,124850663801.46872,10.79192950482232,0.1044042893926766,1347379562375.7224,3.2940816801169502e-06,1.87762921285974e-06
55,55,0.03,610,2,500000.0,1.22318836533182,,14396.0,0.0097419936951826,610.0,0.0517035137885386,0.0099990589920414,0.0097277153488772,125529877262.34808,11.798037605235669,0.1149364079657336,1481006212521.8003,3.3231422785079803e-06,1.8936301264786875e-06
56,56,0.03,612,2,500000.0,1.22388822314828,,14416.0,0.0098334467916008,612.0,0.0502084967469045,0.0104889852106571,0.0095899293833245,126511960842.51727,12.189171946035833,0.1198615737650166,1542076043939.5952,3.3601216874495947e-06,1.914080595032413e-06
57,57,0.03,614,2,500000.0,1.2245971197151,,14353.0,0.0098704401946674,614.0,0.0540570585296791,0.0111002536083474,0.009337306780065,126790824755.0104,11.35836867007652,0.1121120986669751,1440136931550.473,3.378907414724088e-06,1.9239812291277e-06
58,58,0.03,616,2,500000.0,1.2252878876884,,14635.0,0.0101480462541339,616.0,0.0546964765985649,0.0106886979657237,0.0099496839100736,130154199312.0325,11.262151390866046,0.1142888332355677,1465816296809.0637,3.480351534296723e-06,1.9808854799315684e-06
59,59,0.03,618,2,500000.0,1.225923815419,,14530.0,0.0101672402264064,618.0,0.0575326355841525,0.0097475893579953,0.0097705034563733,130197372715.61755,10.741729345878062,0.1092137427065822,1398544939255.573,3.492551762378793e-06,1.987446362527569e-06
60,60,0.03,620,2,500000.0,1.22668718395639,,14537.0,0.0102641846951394,620.0,0.0565433734072939,0.0102560446225258,0.0096872954881492,131233867224.27376,10.96503378979545,0.112547132006905,1438983788479.6914,3.5322699676009767e-06,2.0092546888261565e-06
61,61,0.03,622,2,500000.0,1.22741865002142,,14945.0,0.0106538319215885,622.0,0.0611845032276505,0.0104733093200927,0.0091850230108712,136003045123.17172,10.16597287201484,0.1083065662978749,1382603267233.5735,3.6732581159319656e-06,2.0882718083349005e-06
62,62,0.03,624,2,500000.0,1.22816432589286,,14845.0,0.0106922280265732,624.0,0.0504506508131044,0.0109184848203598,0.00946650588002,136279735869.01152,12.368522307306252,0.1322470608614762,1685578953129.6729,3.692838800796424e-06,2.098565893048872e-06
63,63,0.03,626,2,500000.0,1.22887045718098,,14910.0,0.0108492080802346,626.0,0.0553840311636122,0.0110021443773551,0.0095599965412589,138063959385.7787,11.302897005649656,0.122627481523754,1560522713129.6538,3.753177763242347e-06,2.1322013302753823e-06
64,64,0.03,628,2,500000.0,1.22959507691401,,15101.0,0.0111081208033452,628.0,0.0583177867500808,0.0099563962407789,0.0093783146918362,141137046368.8953,10.768584251855714,0.1196187347506142,1519846174881.5154,3.849259507012095e-06,2.185994756366533e-06
65,65,0.03,630,2,500000.0,1.23040421769492,,15212.0,0.0113144263456144,630.0,0.0495873345395239,0.011158550512543,0.0097900819144252,143532431824.82382,12.704857114226504,0.1437481700504719,1823559037591.844,3.9270561890940286e-06,2.229574594259775e-06
66,66,0.03,632,2,500000.0,1.23117903184959,,15178.0,0.0114135143380792,632.0,0.052345395875136,0.0109459269784136,0.0093565406120012,144561581108.50082,12.07365021190332,0.1378027798065118,1745385964383.73,3.968062770732691e-06,2.2522516210628225e-06
67,67,0.03,634,2,500000.0,1.2319261619573,,15340.0,0.01166916381126,634.0,0.0538206144146897,0.0103790591152918,0.0093318058119545,147566628787.44315,11.77987295193264,0.1374612671519335,1738316139061.0862,4.0633663471061365e-06,2.3059404330810884e-06
68,68,0.03,636,2,500000.0,1.23270341452702,,15185.0,0.0116843008711902,636.0,0.0496117270632794,0.0112026134200148,0.0092803754979397,147524783811.69733,12.819549684065343,0.1497874755417919,1891201295705.053,4.07532931881909e-06,2.3121963116978e-06
69,69,0.03,638,2,500000.0,1.23347773841695,,15354.0,0.0119486311830205,638.0,0.054333502546342,0.0107920659353559,0.0094846471223392,150623647958.71622,11.742294718729717,0.1403043488364315,1768667265941.4375,4.174635105081547e-06,2.367862987948687e-06
70,70,0.03,640,2,500000.0,1.23422873606346,,15247.0,0.0119976608570538,640.0,0.0601038675990821,0.0104129652811404,0.009572343112788,151002190682.88092,10.648233226338558,0.1277538909764226,1607906544079.363,4.199175210167848e-06,2.3809719062459543e-06
71,71,0.03,642,2,500000.0,1.23521015912391,,15387.0,0.0122413378760901,642.0,0.0539357767611363,0.0107782940341502,0.00935164588369,153807564959.87473,11.903045409788104,0.1457092006156595,1830778430086.322,4.2897642169431456e-06,2.433450690554574e-06
72,72,0.03,644,2,500000.0,1.23598529338285,,15521.0,0.0124915937760946,644.0,0.0556075185809277,0.0104942578454419,0.0095076432157073,156677582615.03137,11.581167734768862,0.1446672427955466,1814509364542.784,4.384393417584026e-06,2.4873137203000725e-06
73,73,0.03,646,2,500000.0,1.23678336528058,,15567.0,0.0126847003870044,646.0,0.0583655109601295,0.0106796680031633,0.00960168638427,158821059802.9313,11.06818032384388,0.1403965512372978,1757860129122.837,4.458671048914587e-06,2.5299718873115685e-06
74,74,0.03,648,2,500000.0,1.2375610899281,,15654.0,0.012912549209852,648.0,0.0569937504706103,0.0112964034703282,0.0095664787452111,161390287766.37317,11.369667632842482,0.1468113928087405,1834953931072.4675,4.544658082266097e-06,2.57972844033041e-06
75,75,0.03,650,2,500000.0,1.23833604842222,,15645.0,0.0130726348526808,650.0,0.0574899221603573,0.0103371929633902,0.0096062066288249,163104042901.01846,11.306329450002517,0.1478035164239944,1844108043666.2583,4.607431831981939e-06,2.616106587276806e-06
76,76,0.03,652,2,500000.0,1.23915559600907,,15719.0,0.0133079020569658,652.0,0.0545352679805546,0.0112748753359254,0.009925206859517,165747157049.40756,11.95556607941269,0.1591035024204068,1981601088578.985,4.696502083920953e-06,2.66723842912664e-06
77,77,0.03,654,2,500000.0,1.23991243430684,,15741.0,0.0135002046191487,654.0,0.0620470093583662,0.0107294856518329,0.0095452910719335,167845774680.24844,10.54039520620048,0.1422974920504015,1769160798820.6963,4.770907730748283e-06,2.7099164398026346e-06
78,78,0.03,656,2,500000.0,1.24074079328274,,15789.0,0.013726583010344,656.0,0.0560609258760678,0.0108886944077356,0.0100062359879303,170358856934.14148,11.701554866400164,0.1606223642237374,1993463511392.0725,4.856969799021688e-06,2.7595906288322697e-06
79,79,0.03,658,2,500000.0,1.24155651007879,,15907.0,0.0140166909084738,658.0,0.0599789741465883,0.0105127584478661,0.0092728816224616,173651535622.73004,10.970511072627728,0.153770262813013,1905046094327.968,4.966304995875809e-06,2.822264956453642e-06
80,80,0.03,660,2,500000.0,1.24231942993718,,15628.0,0.0139485132603382,660.0,0.0599933347043588,0.0099874338497611,0.0095154924203854,172500572887.4308,11.001222106629244,0.1534506924342439,1897717115855.4128,4.9491130522426615e-06,2.8128961137715805e-06
81,81,0.03,662,2,500000.0,1.24314995045508,,15634.0,0.014099577272202,662.0,0.05844575908975,0.0106778845469118,0.0101298897145486,174059119555.37408,11.32674141477784,0.1597022658199108,1971522638087.623,5.009884289153163e-06,2.847370292439693e-06
82,82,0.03,664,2,500000.0,1.24399008048548,,15939.0,0.0145231939925601,664.0,0.0625799280369392,0.0103455325455769,0.0094344280144272,178969695082.6716,10.610430865437538,0.1540973458033968,1898945576683.124,5.166024734106817e-06,2.937075468750816e-06
83,83,0.03,666,2,500000.0,1.24478593786844,,15990.0,0.0147343644262856,666.0,0.052846937393383,0.010152546162597,0.009442014482707,181248347910.13348,12.602433231701127,0.1856888438938168,2284170202893.594,5.2487177070952575e-06,2.984025692491802e-06
84,84,0.03,668,2,500000.0,1.24561914540455,,15832.0,0.014773504318248,668.0,0.0575838396881636,0.0114379962309171,0.0098065516069787,181405344690.86804,11.600476863256269,0.1713796950330525,2104388503957.4429,5.269427998957103e-06,2.99623556870919e-06
85,85,0.03,670,2,500000.0,1.24636834168605,,15727.0,0.0148590319703952,670.0,0.059984807759406,0.0109590958348749,0.0093504941368758,182129203410.9152,11.169494827545549,0.1659678807356637,2034291195443.208,5.306098685311593e-06,3.01791741430166e-06
