,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
37,37,0.05,420,2.25,1,500000.0,,22805.2,4.56104,,420.0,0.03113612076479057,0.010385215016154036,0.011841866298586756,13.495646278652966,61.55376921163238,
38,38,0.05,430,2.25,1,500000.0,,23205.2,4.641039999999999,,430.0,0.03329610891927359,0.011032008454329594,0.011416423479195857,12.98655934182076,60.27535716597722,
39,39,0.05,440,2.25,1,500000.0,,23623.4,4.72468,,440.0,0.03539938856217759,0.010800128868705659,0.011494301276434969,12.462472446664288,58.86045488161341,
40,40,0.05,450,2.25,1,500000.0,,23875.6,4.775119999999999,,450.0,0.0357675785985407,0.010019125469027076,0.01174320297833197,12.625584509647169,60.28355620339763,
41,41,0.05,460,2.25,1,500000.0,,24202.2,4.84044,,460.0,0.037139101280183696,0.009896214493860783,0.011725108336369115,12.427811420285572,60.16802820894628,
42,42,0.05,470,2.25,1,500000.0,,24629.4,4.925880000000001,,470.0,0.03803812470208641,0.010441922482383077,0.011535261091131416,12.382301459377084,60.99086905864325,
43,43,0.05,480,2.25,1,500000.0,,25269.4,5.05388,,480.0,0.03926098466967005,0.010191722251775165,0.011750852566918293,12.23899157188617,61.854441428383744,
44,44,0.05,490,2.25,1,500000.0,,25352.2,5.07044,,490.0,0.03958948987769872,0.010523278770975555,0.011817679160547717,12.383338228900984,62.790028587648656,
45,45,0.05,500,2.25,1,500000.0,,25681.2,5.136239999999999,,500.0,0.04143215242837641,0.010262960892097028,0.011686114803928909,12.074662320644595,62.022320022259706,
46,46,0.05,510,2.25,1,500000.0,,25959.4,5.19188,,510.0,0.04138773980805581,0.010395588721683075,0.011775682354574,12.359331947175562,64.17280075035487,
47,47,0.05,520,2.25,1,500000.0,,26291.2,5.258240000000001,,520.0,0.04390911615284949,0.010548487463429944,0.011644230415727064,11.842672100771127,62.27191113745545,
48,48,0.05,530,2.25,1,500000.0,,26644.6,5.32892,,530.0,0.0458901177454436,0.010061903514663925,0.011557567259047562,11.577203805157191,61.67050479260316,
49,49,0.05,540,2.25,1,500000.0,,27081.6,5.41632,,540.0,0.0474303415421673,0.010579475063735347,0.011801290791899354,11.430424570462144,61.895719550046714,
50,50,0.05,550,2.25,1,500000.0,,27324.8,5.46496,,550.0,0.04805746136473772,0.010249348013509255,0.011634465060236512,11.4536359030585,62.59604563095629,
51,51,0.05,560,2.25,1,500000.0,,27536.8,5.50736,,560.0,0.05025268635249632,0.01035263543259032,0.011655341806991504,11.189224358740931,61.60810118002862,
52,52,0.05,570,2.25,1,500000.0,,28020.8,5.60416,,570.0,0.04896831113733242,0.010301843844665213,0.01162847329391228,11.666967812246394,65.37146218223108,
53,53,0.05,580,2.25,1,500000.0,,28167.0,5.633399999999999,,580.0,0.05196358548223543,0.010713432212156645,0.011663456138153677,11.17363603561064,62.935373133188115,
54,54,0.05,590,2.25,1,500000.0,,28595.4,5.71908,,590.0,0.055183012723659886,0.010356154943030316,0.01182767950885134,10.704446928996841,61.21674231049506,
55,55,0.05,600,2.25,1,500000.0,,29018.0,5.8036,,600.0,0.054510858529602045,0.010078242850150267,0.011785860079453392,11.009225295951431,63.89143604317408,
56,56,0.05,610,2.25,1,500000.0,,29247.2,5.84944,,610.0,0.05529791633614423,0.01048929026690209,0.011719479433746433,11.051385534302888,64.64316759106134,
57,57,0.05,620,2.25,1,500000.0,,29432.6,5.88652,,620.0,0.05699422689883704,0.010584347670202724,0.011727623625583966,10.901452749956288,64.15948037939165,
