,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
11,11,0.03,511.0,2.25,1,500000.0,,1180.0,0.236,511.0,0.0378493504018706,0.0075465573447388,0.0089186209678114,-0.0003406397768465,7.045608372475787e-05,3253250812537.433,13.500892210153877,3.186210561596315,43921788552663.41,7.217766044933592e-05,4.048595847301468e-05
12,12,0.03,512.0,2.25,1,500000.0,,1124.0,0.2248,512.0,0.0440088759195873,0.0085527950233097,0.0095892368105796,-0.0002813788212808,-4.343963898934053e-06,3097064079856.259,11.634016759153814,2.615326967457777,36031295409221.0,6.88342155533058e-05,3.862741294551887e-05
13,13,0.03,513.0,2.25,1,500000.0,,1107.0,0.2213999999999999,513.0,0.0468085893430725,0.0076099246204513,0.0091658902322564,-0.0001331787322002,-0.0002600676536894,3048454345777.6,10.959527026975485,2.4264392837723725,33409617793050.48,6.790119853171503e-05,3.810533637419264e-05
14,14,0.03,514.0,2.25,1,500000.0,,1122.0,0.2244,514.0,0.0382031239587377,0.0091890567380772,0.0097120192801732,-0.0001233327873542,-0.0001326396784526,3087969340786.584,13.454397094728677,3.0191667080571145,41546765727290.24,6.891543129153352e-05,3.86849363870339e-05
15,15,0.03,515.0,2.25,1,500000.0,,1087.0,0.2174,515.0,0.0441316081496552,0.0095636352973398,0.0083274323340126,-0.0003303478628104,3.089124035877375e-05,2989906236374.526,11.66964045936367,2.5369798358656617,34891130785699.92,6.68616712465665e-05,3.753975366588478e-05
16,16,0.03,516.0,2.25,1,500000.0,,1138.0,0.2275999999999999,516.0,0.0427289816198026,0.0085734275202569,0.0093290577749632,-0.000201911380798,6.518887028907759e-05,3128369497304.851,12.076112756238986,2.748523263319993,37778542792632.06,7.010682333925273e-05,3.936579105707883e-05
17,17,0.03,517.0,2.25,1,500000.0,,1146.0,0.2292,517.0,0.0478089053831354,0.0078365003165253,0.0088915066255333,-0.0006300460802314,3.39784044857008e-06,3148531244559.7925,10.813884899828132,2.478542419040608,34047854482182.21,7.068235000588597e-05,3.970801679763972e-05
18,18,0.03,518.0,2.25,1,500000.0,,1189.0,0.2377999999999999,518.0,0.0348360924668895,0.008090258493798,0.0092702538488926,-9.646003610622002e-05,-3.054841690474337e-05,3264770869634.6577,14.869635579602967,3.5359993408295853,48545953082370.82,7.34525796614794e-05,4.126618430044115e-05
19,19,0.03,519.0,2.25,1,500000.0,,1168.0,0.2336,519.0,0.0420106337579682,0.0100561029979201,0.0090154522334862,-0.0005215489296346,-0.000103932380495,3205243368336.9937,12.354015009391777,2.885897906193919,39597624681188.67,7.223918632652924e-05,4.060469119388482e-05
20,20,0.03,520.0,2.25,1,500000.0,,1204.0,0.2408,520.0,0.0348835195965193,0.0099557244451597,0.0094445105903936,-0.000480074163886,4.085422799235447e-05,3302112177280.894,14.906752701980365,3.5895460506368715,49223769620924.23,7.457954900344299e-05,4.192593983896636e-05
21,21,0.03,521.0,2.25,1,500000.0,,1093.0,0.2186,521.0,0.0399678286610196,0.0090208488470716,0.0091997254865932,-0.0001343928516732,8.950438204508274e-06,2995802030548.068,13.035484224544016,2.8495568514853216,39051730109066.266,6.779152762551433e-05,3.8121450682561166e-05
22,22,0.03,522.0,2.25,1,500000.0,,1200.0,0.24,522.0,0.0416244979944622,0.0092244115841261,0.0091286678067472,-8.142177919500796e-05,-0.0002088686381014,3286921832884.0967,12.54069178370506,3.009766028089214,41220273623330.37,7.452749171835875e-05,4.19192167116149e-05
23,23,0.03,523.0,2.25,1,500000.0,,1138.0,0.2275999999999999,523.0,0.0545919364335532,0.0073683621003474,0.0089302206456006,-0.0004657741817986,-7.99784985531305e-05,3115052614555.256,9.580169420012636,2.180446559994876,29842731799692.668,7.075279456883513e-05,3.9816107836754615e-05
24,24,0.03,524.0,2.25,1,500000.0,,1169.0,0.2337999999999999,524.0,0.0458035137706929,0.0108492810569465,0.0095635891775026,-0.0003168503011275,-4.697018616863986e-05,3197808427672.956,11.440170346391156,2.674711826986252,36583473147703.88,7.2784743448153e-05,4.096544384288818e-05
25,25,0.03,525.0,2.25,1,500000.0,,1113.0,0.2226,525.0,0.0387888980856132,0.009157286957676,0.0097484751850652,-0.0005908733046094,-9.691968332966832e-05,3042620000000.0005,13.534800572092603,3.0128466073478144,41181254916660.41,6.938468882238292e-05,3.906491839060168e-05
26,26,0.03,526.0,2.25,1,500000.0,,1159.0,0.2318,526.0,0.0435205002117982,0.008028778955826,0.0086509390026092,-0.0003689422062005,-4.000483357787926e-05,3166288032345.013,12.08625814133919,2.8015946371624243,38268574508754.766,7.234771622607932e-05,4.07442003004581e-05
27,27,0.03,527.0,2.25,1,500000.0,,1067.0,0.2134,527.0,0.0448979275074634,0.0093115343461063,0.0092416477276638,-0.0005580352386683,-3.5950856959305e-05,2913034627133.8726,11.737735553882656,2.50483276719856,34192430112600.56,6.669987308045791e-05,3.756984454334961e-05
28,28,0.03,528.0,2.25,1,500000.0,,1159.0,0.2318,528.0,0.0485978079121878,0.0083379810560049,0.0095811853039938,-0.0002772371027843,-6.264487820640854e-06,3162122713387.2417,10.864687579202172,2.518434580859064,34355475368051.44,7.252726576483855e-05,4.087455634843369e-05
29,29,0.03,529.0,2.25,1,500000.0,,1105.0,0.221,529.0,0.0363396081280598,0.0075918174620132,0.0088654330269955,-0.0004712327669893,-1.1645149760029135e-05,3012807816711.591,14.557119001829028,3.217123299404216,43857801917511.33,6.925129123140632e-05,3.903269714112394e-05
30,30,0.03,530.0,2.25,1,500000.0,,1123.0,0.2246,530.0,0.0449103441851548,0.0088922847890921,0.0091765308427183,-0.0001452832609785,8.806630222927642e-05,3059867259658.581,11.801290095104465,2.6505697553604626,36110381183743.26,7.045294535114206e-05,3.973239537861786e-05
31,31,0.03,531.0,2.25,1,500000.0,,1161.0,0.2322,531.0,0.0488399001023935,0.0088912186836027,0.0090342915223303,-0.0003660931244469,6.87273283116856e-06,3161458859652.625,10.872258110412808,2.524538333237854,34372196727594.68,7.294286710390773e-05,4.114319658039985e-05
