,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
20,20,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12082.43,6.0412149999999984,500.0,0.0434574899937126,0.0072270512265713,0.0096446706148528,-0.0002775606208347,2.7481157822712544e-07,83808586992318.03,11.533680731607332,69.67850446642902,966636182137093.6,0.0018185720809279,0.0010169167887203
21,21,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10885.46,5.442730000000001,500.0,0.3330097662565538,0.0072254303459147,0.0096499090520831,-0.0002675272708932,5.631178762393975e-06,75505922348517.52,1.5045268824471183,8.188845911195113,113602248043660.7,0.0016384116145558,0.0009161739010235
22,22,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,12066.54,6.03327,500.0,0.0419985690652145,0.0071779056314291,0.009647229872116,-0.0002844667606911,-1.2161224256692183e-06,83698367570619.95,11.93427370459774,72.00054723850299,998849424616171.6,0.0018161804171346,0.0010155794080963
23,23,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,12088.52,6.044259999999998,500.0,0.0424147384917841,0.0072171795929864,0.0096462096476666,-0.0002803850382277,3.1627076521973134e-06,83850829678167.14,11.813561734747882,71.40143356784255,990538038547998.4,0.0018194887097826,0.0010174293531004
24,24,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,,12088.64,6.044319999999998,500.0,0.0421667427979292,0.0071776926317966,0.0096499275478372,-0.0002837697410261,4.06778459356127e-06,83851662046361.19,11.876974462681112,71.79179099903457,995953390382051.4,0.0018195067714349,0.0010174394528912
25,25,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,12080.95,6.040475,500.0,0.0421209417335563,0.0072252738539274,0.0096465792228146,-0.0002736327919972,-1.3972947965944305e-06,83798321117924.48,11.894357718825107,71.84755661374416,996727015782169.2,0.0018183493205495,0.0010167922246345
26,26,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,12071.76,6.035879999999997,500.0,0.0423240584981777,0.0071301146032343,0.0096419935935356,-0.0002805621212097,3.633261734527011e-06,83734575587061.98,11.835979407635882,71.43738481585424,991036783137700.4,0.0018169660990101,0.0010160187489935
27,27,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,12086.32,6.043159999999999,500.0,0.0425796529639245,0.0071768537361371,0.009654547349229,-0.0002769823082345,5.93576267059593e-07,83835569594609.16,11.76585312172164,71.10322102150118,986400994570546.0,0.0018191575794903,0.0010172441902702
28,28,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,,12079.7,6.039850000000001,500.0,0.0423026965615457,0.0071576195059063,0.0096478945508162,-0.0002800872985008,1.2095330756090665e-06,83789650615902.94,11.848061099275386,71.55644057214027,992688420218591.6,0.0018181611783379,0.0010166870184809
29,29,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,12096.7,6.04835,500.0,0.0431483584271319,0.007261515037459,0.0096486747284607,-0.0002789571362728,1.335802410275751e-06,83907569443396.23,11.60826735803814,70.20905858749099,973996455063840.4,0.001820719912415,0.0010181178221693
30,30,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,12115.69,6.057845,500.0,0.0422597516581907,0.0071888271111408,0.0096471937225563,-0.0002824464688244,1.6212564925638643e-06,84039291710107.84,11.86111143695746,71.85349659185302,996809419929690.2,0.001823578168893,0.0010197161140541
31,31,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,12081.38,6.040690000000001,500.0,0.0418326418870964,0.0071827087102519,0.009642522453995,-0.0002780332592212,4.896538590352212e-06,83801303770619.98,11.979008465538106,72.36504557112603,1003906038263955.0,0.0018184140414702,0.0010168284155513
32,32,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,12074.39,6.037194999999998,500.0,0.0421514037156674,0.0072442278376012,0.0096424782233062,-0.0002831232371932,-1.271459827590611e-07,83752818323315.34,11.889184956396385,71.78159136032625,995811892801188.4,0.0018173619502232,0.0010162401027406
33,33,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,11720.28,5.86014,500.0,0.0420682543568432,0.0075985012979258,0.0096457734324484,-0.000292429312011,3.659266132552913e-06,81296569146630.73,11.90835316981678,69.77856735719678,968024334931789.6,0.0017640635193962,0.0009864364619123
