X-Position (mm)	Y-Position (mm)	Z-Position (mm)	Verschiebungskomponente (mm)
22,179	99,975	-430,08	-5,9465e-004
22,165	99,974	-425,08	-5,5243e-004
22,151	99,973	-420,08	-5,1104e-004
22,138	99,972	-415,09	-4,7057e-004
22,125	99,971	-410,09	-4,31e-004
22,112	99,97	-405,1	-3,9237e-004
22,1	99,97	-400,1	-3,547e-004
22,089	99,969	-395,1	-3,1803e-004
22,078	99,968	-390,11	-2,8238e-004
22,067	99,967	-385,11	-2,478e-004
22,057	99,966	-380,12	-2,1434e-004
22,047	99,965	-375,12	-1,8196e-004
22,037	99,965	-370,13	-1,5068e-004
22,028	99,964	-365,13	-1,2055e-004
22,019	99,963	-360,13	-9,1574e-005
22,011	99,963	-355,14	-6,3835e-005
22,003	99,962	-350,14	-3,7326e-005
21,995	99,962	-345,15	-1,2048e-005
21,988	99,961	-340,15	1,1999e-005
21,982	99,961	-335,15	3,4777e-005
21,975	99,96	-330,16	5,625e-005
21,97	99,96	-325,16	7,6365e-005
21,964	99,959	-320,17	9,5129e-005
21,959	99,959	-315,17	1,1257e-004
21,955	99,959	-310,18	1,2869e-004
21,951	99,958	-305,18	1,4344e-004
21,947	99,958	-300,18	1,5679e-004
21,944	99,958	-295,19	1,6876e-004
21,941	99,957	-290,19	1,7935e-004
21,938	99,957	-285,2	1,8857e-004
21,936	99,957	-280,2	1,9636e-004
21,935	99,957	-275,2	2,0279e-004
21,934	99,957	-270,21	2,0778e-004
21,933	99,957	-265,21	2,1133e-004
4,4865	99,17	-520,	-1,5141e-003
8,9942	99,273	-520,	-1,5041e-003
13,5	99,446	-520,	-1,4972e-003
18,002	99,689	-520,	-1,4927e-003
-22,227	99,979	-73,646	-7,9418e-004
-22,212	99,978	-78,556	-7,5281e-004
-22,197	99,977	-83,466	-7,1222e-004
-22,183	99,976	-88,375	-6,7242e-004
-22,169	99,975	-93,285	-6,3337e-004
-22,156	99,974	-98,195	-5,9515e-004
-22,142	99,973	-103,1	-5,5778e-004
-22,13	99,972	-108,01	-5,2127e-004
-22,117	99,971	-112,92	-4,8568e-004
-22,105	99,97	-117,83	-4,5101e-004
-22,094	99,969	-122,74	-4,1729e-004
-22,083	99,968	-127,65	-3,8453e-004
-22,072	99,967	-132,56	-3,5281e-004
-22,061	99,967	-137,47	-3,2214e-004
-22,051	99,966	-142,38	-2,9256e-004
-22,042	99,965	-147,29	-2,6404e-004
-22,033	99,964	-152,2	-2,3658e-004
-22,024	99,964	-157,11	-2,1026e-004
-22,015	99,963	-162,02	-1,851e-004
-22,007	99,963	-166,93	-1,611e-004
-22,	99,962	-171,84	-1,3831e-004
-21,993	99,961	-176,75	-1,1669e-004
-21,986	99,961	-181,66	-9,6305e-005
-21,979	99,96	-186,57	-7,7166e-005
-21,973	99,96	-191,48	-5,9298e-005
-21,968	99,96	-196,39	-4,2723e-005
-21,963	99,959	-201,3	-2,7438e-005
-21,958	99,959	-206,21	-1,3433e-005
-21,954	99,958	-211,12	-7,1698e-007
-21,95	99,958	-216,03	1,0649e-005
-21,946	99,958	-220,94	2,066e-005
-21,943	99,958	-225,85	2,9324e-005
-21,94	99,957	-230,76	3,6668e-005
-21,938	99,957	-235,67	4,2709e-005
-21,936	99,957	-240,58	4,7391e-005
-21,935	99,957	-245,49	5,0727e-005
-21,934	99,957	-250,4	5,2677e-005
-21,933	99,957	-255,31	5,3223e-005
-2,2142e-002	99,135	0,	-1,3791e-003
-18,011	99,689	0,	-1,4758e-003
-13,517	99,447	0,	-1,4473e-003
-9,0207	99,274	0,	-1,4211e-003
-4,522	99,17	0,	-1,3981e-003
-2,2142e-002	99,135	-255,31	2,7691e-004
-2,2142e-002	99,135	-250,4	2,7615e-004
-2,2142e-002	99,135	-245,49	2,7388e-004
-2,2142e-002	99,135	-240,58	2,7022e-004
-2,2142e-002	99,135	-235,67	2,6529e-004
-2,2142e-002	99,135	-230,76	2,5885e-004
-2,2142e-002	99,135	-225,85	2,511e-004
-2,2142e-002	99,135	-220,94	2,4188e-004
-2,2142e-002	99,135	-216,03	2,3128e-004
-2,2142e-002	99,135	-211,12	2,1931e-004
-2,2142e-002	99,135	-206,21	2,0571e-004
-2,2142e-002	99,135	-201,3	1,9087e-004
-2,2142e-002	99,135	-196,39	1,7446e-004
-2,2142e-002	99,135	-191,48	1,5664e-004
-2,2142e-002	99,135	-186,57	1,3753e-004
-2,2142e-002	99,135	-181,66	1,17e-004
-2,2142e-002	99,135	-176,75	9,5265e-005
-2,2142e-002	99,135	-171,84	7,2259e-005
-2,2142e-002	99,135	-166,93	4,7956e-005
-2,2142e-002	99,135	-162,02	2,2537e-005
-2,2142e-002	99,135	-157,11	-4,2167e-006
-2,2142e-002	99,135	-152,2	-3,2029e-005
-2,2142e-002	99,135	-147,29	-6,1047e-005
-2,2142e-002	99,135	-142,38	-9,1431e-005
-2,2142e-002	99,135	-137,47	-1,2293e-004
-2,2142e-002	99,135	-132,56	-1,5552e-004
-2,2142e-002	99,135	-127,65	-1,8925e-004
-2,2142e-002	99,135	-122,74	-2,2395e-004
-2,2142e-002	99,135	-117,83	-2,5965e-004
-2,2142e-002	99,135	-112,92	-2,9632e-004
-2,2142e-002	99,135	-108,01	-3,3384e-004
-2,2142e-002	99,135	-103,1	-3,7239e-004
-2,2142e-002	99,135	-98,195	-4,1173e-004
-2,2142e-002	99,135	-93,285	-4,5195e-004
-2,2142e-002	99,135	-88,376	-4,9306e-004
-2,2142e-002	99,135	-83,466	-5,3503e-004
-2,2142e-002	99,135	-78,556	-5,7779e-004
-2,2142e-002	99,135	-73,646	-6,2146e-004
-2,2142e-002	99,135	-68,737	-6,6576e-004
-2,2142e-002	99,135	-63,827	-7,1085e-004
-2,2142e-002	99,135	-58,917	-7,5657e-004
-2,2142e-002	99,135	-54,007	-8,0293e-004
-2,2142e-002	99,135	-49,098	-8,4996e-004
-2,2142e-002	99,135	-44,188	-8,9765e-004
-2,2142e-002	99,135	-39,278	-9,4598e-004
-2,2142e-002	99,135	-34,368	-9,9502e-004
-2,2142e-002	99,135	-29,459	-1,045e-003
-2,2142e-002	99,135	-24,549	-1,0958e-003
-2,2142e-002	99,135	-19,639	-1,148e-003
-2,2142e-002	99,135	-14,729	-1,2016e-003
-2,2142e-002	99,135	-9,8195	-1,2572e-003
-2,2142e-002	99,135	-4,9098	-1,3158e-003
4,4865	99,17	0,	-1,3649e-003
8,9942	99,273	0,	-1,3549e-003
13,5	99,446	0,	-1,3479e-003
18,002	99,689	0,	-1,3434e-003
22,5	99,98	-451,32	-7,8357e-004
22,5	99,981	-456,23	-8,2901e-004
22,5	99,983	-461,13	-8,7514e-004
22,5	99,984	-466,04	-9,219e-004
22,5	99,985	-470,94	-9,6933e-004
22,5	99,987	-475,85	-1,0174e-003
22,5	99,988	-480,75	-1,0661e-003
22,5	99,989	-485,66	-1,1154e-003
22,5	99,991	-490,57	-1,1654e-003
22,5	99,992	-495,47	-1,2163e-003
22,5	99,994	-500,38	-1,2681e-003
22,5	99,995	-505,28	-1,3211e-003
22,5	99,997	-510,19	-1,3757e-003
22,5	99,998	-515,09	-1,4321e-003
21,933	99,957	-255,31	2,1433e-004
21,934	99,957	-250,4	2,138e-004
21,935	99,957	-245,49	2,1184e-004
21,936	99,957	-240,58	2,0851e-004
21,938	99,957	-235,67	2,0383e-004
21,94	99,957	-230,76	1,9782e-004
21,943	99,958	-225,85	1,9048e-004
21,946	99,958	-220,94	1,818e-004
21,95	99,958	-216,03	1,7179e-004
21,954	99,958	-211,12	1,6044e-004
21,958	99,959	-206,21	1,4777e-004
21,963	99,959	-201,3	1,3381e-004
21,968	99,96	-196,39	1,1858e-004
21,973	99,96	-191,48	1,0207e-004
21,979	99,96	-186,57	8,4249e-005
21,986	99,961	-181,66	6,5168e-005
21,993	99,961	-176,75	4,4843e-005
22,	99,962	-171,84	2,3298e-005
22,007	99,963	-166,93	5,4976e-007
22,015	99,963	-162,02	-2,3367e-005
22,024	99,964	-157,11	-4,8457e-005
22,033	99,964	-152,2	-7,4729e-005
22,042	99,965	-147,29	-1,0212e-004
22,051	99,966	-142,38	-1,3059e-004
22,061	99,967	-137,47	-1,6011e-004
22,072	99,967	-132,56	-1,9068e-004
22,083	99,968	-127,65	-2,2232e-004
22,094	99,969	-122,74	-2,5499e-004
22,105	99,97	-117,83	-2,8863e-004
22,117	99,971	-112,92	-3,2323e-004
22,13	99,972	-108,01	-3,5872e-004
22,142	99,973	-103,1	-3,9511e-004
22,156	99,974	-98,195	-4,3239e-004
22,169	99,975	-93,285	-4,7055e-004
22,183	99,976	-88,375	-5,0949e-004
22,197	99,977	-83,466	-5,4918e-004
22,212	99,978	-78,556	-5,8964e-004
22,227	99,979	-73,646	-6,309e-004
22,243	99,98	-68,736	-6,7296e-004
22,258	99,982	-63,827	-7,1568e-004
22,275	99,983	-58,917	-7,5906e-004
22,291	99,984	-54,007	-8,031e-004
22,308	99,985	-49,097	-8,4779e-004
22,326	99,987	-44,188	-8,931e-004
22,344	99,988	-39,278	-9,3905e-004
22,362	99,989	-34,368	-9,8563e-004
22,38	99,991	-29,458	-1,0329e-003
22,399	99,992	-24,549	-1,0809e-003
22,419	99,994	-19,639	-1,13e-003
22,438	99,995	-14,729	-1,1802e-003
22,459	99,997	-9,8195	-1,2321e-003
22,479	99,998	-4,9097	-1,2857e-003
22,5	99,988	-480,03	-1,0589e-003
22,5	99,986	-475,04	-1,0094e-003
22,5	99,985	-470,04	-9,6057e-004
22,5	99,984	-465,05	-9,1241e-004
22,5	99,982	-460,05	-8,6492e-004
22,5	99,981	-455,05	-8,181e-004
22,5	99,98	-450,06	-7,7199e-004
22,227	99,979	-446,42	-7,3836e-004
22,341	99,988	-39,999	-9,3225e-004
22,323	99,986	-44,999	-8,8555e-004
22,305	99,985	-49,999	-8,3954e-004
22,288	99,984	-54,999	-7,9414e-004
22,271	99,982	-59,999	-7,4943e-004
22,255	99,981	-64,999	-7,0544e-004
22,239	99,98	-69,999	-6,6209e-004
22,223	99,979	-74,999	-6,1947e-004
22,208	99,978	-79,999	-5,7768e-004
22,193	99,977	-85,017	-5,3656e-004
22,178	99,975	-90,015	-4,9641e-004
22,164	99,974	-94,999	-4,5714e-004
22,151	99,973	-99,999	-4,1859e-004
22,137	99,972	-105,	-3,8095e-004
22,125	99,971	-110,	-3,4425e-004
22,112	99,97	-115,	-3,0847e-004
22,1	99,969	-120,	-2,7367e-004
22,089	99,969	-125,	-2,3986e-004
22,077	99,968	-130,	-2,0707e-004
22,067	99,967	-135,	-1,7537e-004
22,056	99,966	-140,	-1,4477e-004
22,046	99,965	-145,	-1,1527e-004
22,037	99,965	-150,	-8,6868e-005
22,028	99,964	-155,	-5,9614e-005
22,019	99,963	-160,	-3,3548e-005
22,011	99,963	-165,	-8,7124e-006
22,003	99,962	-170,	1,4899e-005
21,995	99,962	-175,	3,7294e-005
21,988	99,961	-180,	5,8417e-005
21,981	99,961	-185,	7,8281e-005
21,975	99,96	-190,	9,6833e-005
21,969	99,96	-195,	1,1403e-004
21,964	99,959	-200,	1,2988e-004
21,959	99,959	-205,	1,4445e-004
21,954	99,959	-210,	1,5766e-004
21,95	99,958	-215,	1,6952e-004
21,947	99,958	-220,	1,7998e-004
21,943	99,958	-225,	1,8906e-004
21,941	99,957	-230,	1,9677e-004
21,938	99,957	-235,	2,0309e-004
21,938	99,957	-284,53	1,8969e-004
21,94	99,957	-289,43	1,8083e-004
21,943	99,958	-294,34	1,7066e-004
21,946	99,958	-299,25	1,5916e-004
21,95	99,958	-304,15	1,4631e-004
21,954	99,958	-309,06	1,3211e-004
21,958	99,959	-313,96	1,1658e-004
21,963	99,959	-318,87	9,9791e-005
21,968	99,96	-323,77	8,1728e-005
21,974	99,96	-328,68	6,2357e-005
21,98	99,96	-333,59	4,1674e-005
21,986	99,961	-338,49	1,9716e-005
21,993	99,961	-343,38	-3,4038e-006
22,	99,962	-348,28	-2,7768e-005
22,008	99,963	-353,21	-5,346e-005
22,016	99,963	-358,11	-8,022e-005
22,024	99,964	-363,02	-1,0817e-004
22,033	99,964	-367,93	-1,3727e-004
22,042	99,965	-372,83	-1,6749e-004
22,052	99,966	-377,74	-1,9879e-004
22,062	99,967	-382,64	-2,311e-004
22,072	99,967	-387,55	-2,6452e-004
22,083	99,968	-392,45	-2,9899e-004
22,094	99,969	-397,36	-3,3445e-004
22,106	99,97	-402,27	-3,709e-004
22,118	99,971	-407,17	-4,0828e-004
22,13	99,972	-412,08	-4,4661e-004
22,143	99,973	-416,98	-4,8582e-004
22,156	99,974	-421,89	-5,2589e-004
22,169	99,975	-426,79	-5,6682e-004
22,183	99,976	-431,7	-6,0851e-004
22,197	99,977	-436,58	-6,5084e-004
22,212	99,978	-441,51	-6,9432e-004
-22,344	99,988	-480,76	-1,2302e-003
-22,326	99,987	-475,85	-1,1813e-003
-22,309	99,985	-470,94	-1,1331e-003
-22,291	99,984	-466,04	-1,0855e-003
-22,275	99,983	-461,13	-1,0386e-003
-22,259	99,982	-456,23	-9,9227e-004
-22,243	99,98	-451,32	-9,4663e-004
-22,227	99,979	-446,42	-9,0168e-004
-22,5	99,988	-39,278	-1,1044e-003
-22,5	99,987	-44,188	-1,0585e-003
-22,5	99,985	-49,097	-1,0133e-003
-22,5	99,984	-54,007	-9,686e-004
-22,5	99,983	-58,917	-9,2461e-004
-22,5	99,981	-63,827	-8,8128e-004
-22,5	99,98	-68,736	-8,3861e-004
-21,938	99,957	-235,	4,196e-005
-21,941	99,957	-230,	3,5624e-005
-21,943	99,958	-225,	2,7909e-005
-21,947	99,958	-220,	1,8841e-005
-21,95	99,958	-215,	8,3699e-006
-21,954	99,959	-210,	-3,5027e-006
-21,959	99,959	-205,	-1,6759e-005
-21,964	99,959	-200,	-3,1368e-005
-21,969	99,96	-195,	-4,7266e-005
-21,975	99,96	-190,	-6,4546e-005
-21,981	99,961	-185,	-8,3156e-005
-21,988	99,961	-180,	-1,0306e-004
-21,995	99,962	-175,	-1,2425e-004
-22,003	99,962	-170,	-1,4671e-004
-22,011	99,963	-165,	-1,7039e-004
-22,019	99,963	-160,	-1,953e-004
-22,028	99,964	-155,	-2,2144e-004
-22,037	99,965	-150,	-2,4876e-004
-22,046	99,965	-145,	-2,7722e-004
-22,056	99,966	-140,	-3,0679e-004
-22,067	99,967	-135,	-3,3746e-004
-22,077	99,968	-130,	-3,6925e-004
-22,089	99,969	-125,	-4,0212e-004
-22,1	99,969	-120,	-4,3601e-004
-22,112	99,97	-115,	-4,7092e-004
-22,125	99,971	-110,	-5,0677e-004
-22,137	99,972	-105,	-5,4358e-004
-22,151	99,973	-99,999	-5,8131e-004
-22,164	99,974	-94,999	-6,1992e-004
-22,178	99,975	-90,015	-6,593e-004
-22,193	99,977	-85,017	-6,9957e-004
-22,208	99,978	-79,999	-7,408e-004
-22,223	99,979	-74,999	-7,8271e-004
-22,212	99,978	-441,51	-8,5751e-004
-22,197	99,977	-436,58	-8,1392e-004
-22,183	99,976	-431,7	-7,7148e-004
-22,169	99,975	-426,79	-7,2968e-004
-22,156	99,974	-421,89	-6,8865e-004
-22,143	99,973	-416,98	-6,4847e-004
-22,13	99,972	-412,08	-6,0915e-004
-22,118	99,971	-407,17	-5,7077e-004
-22,106	99,97	-402,27	-5,3328e-004
-22,094	99,969	-397,36	-4,9674e-004
-22,083	99,968	-392,45	-4,6119e-004
-22,072	99,967	-387,55	-4,2665e-004
-22,062	99,967	-382,64	-3,9316e-004
-22,052	99,966	-377,74	-3,6074e-004
-22,042	99,965	-372,83	-3,2939e-004
-22,033	99,964	-367,93	-2,9912e-004
-22,024	99,964	-363,02	-2,6996e-004
-22,016	99,963	-358,11	-2,4196e-004
-22,008	99,963	-353,21	-2,1513e-004
-22,	99,962	-348,28	-1,8937e-004
-21,993	99,961	-343,38	-1,6497e-004
-21,986	99,961	-338,49	-1,4181e-004
-21,98	99,96	-333,59	-1,198e-004
-21,974	99,96	-328,68	-9,9075e-005
-21,968	99,96	-323,77	-7,9644e-005
-21,963	99,959	-318,87	-6,152e-005
-21,958	99,959	-313,96	-4,4669e-005
-21,954	99,958	-309,06	-2,9096e-005
-21,95	99,958	-304,15	-1,4862e-005
-21,946	99,958	-299,25	-1,9927e-006
-21,943	99,958	-294,34	9,5381e-006
-21,94	99,957	-289,43	1,9761e-005
-21,938	99,957	-284,53	2,8638e-005
20,171	99,83	-235,08	2,1212e-004
20,464	99,85	-39,655	-9,3379e-004
20,506	99,853	-230,24	2,0431e-004
20,755	99,871	-44,428	-8,8922e-004
19,812	99,806	-225,5	2,0053e-004
20,164	99,83	-49,176	-8,4453e-004
19,675	99,796	-220,72	1,9262e-004
20,107	99,826	-53,984	-8,0043e-004
19,52	99,786	-215,8	1,8319e-004
19,902	99,812	-59,056	-7,5436e-004
19,508	99,785	-210,37	1,7049e-004
19,555	99,788	-64,149	-7,0849e-004
19,808	99,805	-205,6	1,5646e-004
19,621	99,793	-68,789	-6,6794e-004
19,653	99,795	-200,65	1,4284e-004
19,49	99,784	-73,699	-6,2531e-004
19,498	99,784	-195,69	1,2787e-004
19,646	99,794	-79,27	-5,785e-004
19,343	99,774	-190,74	1,1156e-004
19,438	99,78	-84,233	-5,3689e-004
19,189	99,764	-185,78	9,3894e-005
19,267	99,769	-89,187	-4,9623e-004
18,815	99,74	-181,38	7,812e-005
19,122	99,76	-94,134	-4,5645e-004
18,883	99,744	-175,87	5,4592e-005
18,899	99,745	-99,426	-4,1459e-004
18,583	99,725	-170,2	3,0314e-005
18,798	99,739	-104,43	-3,7617e-004
18,482	99,718	-165,24	7,0697e-006
18,711	99,733	-109,4	-3,3889e-004
18,388	99,713	-160,27	-1,7509e-005
18,627	99,728	-114,35	-3,0272e-004
18,298	99,707	-155,31	-4,3296e-005
18,55	99,723	-119,28	-2,6764e-004
18,21	99,701	-150,35	-7,0272e-005
18,47	99,718	-124,21	-2,3348e-004
18,123	99,696	-145,4	-9,8394e-005
18,454	99,717	-129,27	-1,997e-004
18,389	99,713	-139,81	-1,3269e-004
18,27	99,705	-134,39	-1,6604e-004
15,999	99,572	-255,62	2,4433e-004
12,065	99,384	-254,7	2,6264e-004
6,8137	99,215	-254,49	2,8053e-004
6,0119	99,197	-4,8153	-1,3005e-003
10,146	99,311	-5,5096	-1,2865e-003
15,518	99,546	-5,728	-1,2799e-003
17,556	99,662	-31,249	-1,0127e-003
17,573	99,662	-26,511	-1,0596e-003
17,406	99,652	-21,546	-1,1097e-003
17,406	99,653	-16,73	-1,1595e-003
5,467	99,186	-249,04	2,8163e-004
4,984	99,178	-243,47	2,7913e-004
4,8687	99,176	-238,48	2,7502e-004
4,3697	99,168	-233,21	2,6928e-004
4,3697	99,168	-228,3	2,621e-004
4,3697	99,168	-223,39	2,5365e-004
4,3697	99,168	-218,48	2,437e-004
4,3697	99,168	-213,57	2,3255e-004
4,3697	99,168	-208,66	2,1985e-004
4,3697	99,168	-203,76	2,0569e-004
4,3697	99,168	-198,85	1,9011e-004
4,3697	99,168	-193,94	1,73e-004
4,3697	99,168	-189,03	1,5468e-004
4,3697	99,168	-184,12	1,3499e-004
4,3697	99,168	-179,21	1,1402e-004
4,3697	99,168	-174,3	9,1679e-005
4,3697	99,168	-169,39	6,8142e-005
4,3697	99,168	-164,48	4,3413e-005
4,3697	99,168	-159,57	1,7376e-005
4,3697	99,168	-154,66	-9,6961e-006
4,3697	99,168	-149,75	-3,8251e-005
4,3697	99,168	-144,84	-6,7769e-005
4,3697	99,168	-139,93	-9,8541e-005
4,3697	99,168	-135,02	-1,3042e-004
4,3697	99,168	-130,11	-1,6348e-004
4,3697	99,168	-125,2	-1,9745e-004
4,3697	99,168	-120,29	-2,326e-004
4,3697	99,168	-115,38	-2,6876e-004
4,3697	99,168	-110,47	-3,0561e-004
4,3697	99,168	-105,56	-3,4351e-004
4,3697	99,168	-100,65	-3,824e-004
4,3697	99,168	-95,74	-4,2199e-004
4,3697	99,168	-90,831	-4,625e-004
4,3697	99,168	-85,921	-5,0391e-004
4,3697	99,168	-81,011	-5,4608e-004
4,3697	99,168	-76,101	-5,8921e-004
4,3697	99,168	-71,192	-6,3298e-004
4,3697	99,168	-66,282	-6,776e-004
4,3697	99,168	-61,372	-7,229e-004
4,3697	99,168	-56,462	-7,6874e-004
4,7354	99,174	-51,186	-8,1837e-004
4,3697	99,168	-46,643	-8,6249e-004
4,7346	99,174	-42,065	-9,0658e-004
4,6441	99,172	-37,245	-9,5424e-004
4,3697	99,168	-31,913	-1,0082e-003
4,3697	99,168	-27,004	-1,0584e-003
4,5581	99,171	-22,692	-1,1031e-003
4,746	99,174	-18,024	-1,1525e-003
5,467	99,186	-13,372	-1,2024e-003
4,086	99,164	-8,5822	-1,2596e-003
18,054	99,692	-252,09	2,3386e-004
16,478	99,599	-247,66	2,4045e-004
17,079	99,633	-242,34	2,3429e-004
16,976	99,627	-11,154	-1,219e-003
16,869	99,621	-35,833	-9,6764e-004
17,396	99,652	-238,2	2,2921e-004
15,163	99,528	-231,93	2,3281e-004
15,121	99,526	-40,433	-9,2206e-004
