,Simulation Number,CPMU20.photonEnergy,CPMU20.energySpread,CPMU20.numberRays,M3.radius,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
10,10,500,0.1,50000.0,240,5.0,,0.5,4059.0,8.118,500.0,0.1306206912532843,2.4798202993939364,0.0242438797040577,-0.0288465178312048,-0.000128366900115,112619416657681.94,3.8278774610866098,31.074709229101096,431093326704662.56,0.0024437415574472,0.0013665016872983
11,11,500,0.1,50000.0,240,10.0,,0.5,3549.0,7.098,500.0,0.2490001244399877,1.887947766249979,0.0293798187081516,-0.133098152303421,6.518827831392054e-06,98469157358490.56,2.0080311249824554,14.253004925125468,197729132826644.25,0.0021366934681892,0.0011948052446962
12,12,500,0.1,50000.0,245,1.6,,0.5,5204.0,10.408,500.0,0.1134961842008124,2.3873023132757303,0.0288084929925238,-0.0096081896157901,-1.1238803587524044e-05,144388136064690.03,4.405434451570055,45.851761771941135,636092469017370.2,0.0031330946205852,0.0017519770339247
13,13,500,0.1,50000.0,245,2.25,,0.5,4601.0,9.202,500.0,0.131702196471906,2.543440893507237,0.0298418063301129,0.0105445052627544,6.942046208695814e-05,127657535363881.4,3.7964438968689262,34.93487673898786,484644671021536.7,0.0027700554091684,0.0015489712400245
14,14,500,0.1,50000.0,245,5.0,,0.5,3946.0,7.892,500.0,0.2832268046115018,2.461986731528523,0.0295367350503011,-0.0101834776025089,5.244629655789165e-05,109484163126684.64,1.7653696326018395,13.932297140493718,193280016834675.12,0.0023757093337489,0.0013284591421727
15,15,500,0.1,50000.0,245,10.0,,0.5,2840.0,5.680000000000001,500.0,0.4871278170893447,2.483026439147181,0.0296626341991582,-0.1259359307552875,-0.000162078311679,78797522371967.66,1.0264246517219409,5.830092021780625,80879719457198.75,0.001709836418613,0.00095611352351
16,16,600,0.1,50000.0,225,1.6,,0.6,5848.0,11.696,600.0,0.0940956603733411,2.328632048782429,0.0295964830249655,0.0004529892965334,-8.202367071095501e-05,151875613313367.28,6.376489602383297,74.57942238947504,968433269148272.8,0.0039536574971318,0.0022564776554027
17,17,600,0.1,50000.0,225,2.25,,0.6,5147.0,10.294,600.0,0.1080170758347094,2.196549770553243,0.029705277056507,0.01640789740769,5.074040205704779e-05,133670277312568.64,5.554677307855804,57.17984820706765,742495256122917.6,0.0034797324106938,0.0019859935862445
18,18,600,0.1,50000.0,225,5.0,,0.6,4673.0,9.346,600.0,0.1791656431860246,2.40717396873422,0.0295874314650662,0.0590299319454216,2.9217997827305047e-05,121360249831286.8,3.3488563394770394,31.29841134875241,406418042008022.2,0.0031592752195788,0.0018030985095241
19,19,600,0.1,50000.0,225,10.0,,0.6,3742.0,7.484,600.0,0.2795073743084231,2.52164099642319,0.0294069938841744,0.0981909433220275,-5.302582360906007e-05,97181693744634.12,2.146633882145552,16.065407973977305,208613516516524.0,0.0025298540277475,0.0014438678841513
20,20,600,0.1,50000.0,232,1.6,,0.6,5787.0,11.574,600.0,0.0598486562279276,2.51846119956567,0.0299919798581111,-0.0026842744566922,-5.037908319566385e-06,150291411464510.3,10.025287747730866,116.03268039223704,1506714645944333.8,0.0039124172257014,0.0022329405252763
21,21,600,0.1,50000.0,232,2.25,,0.6,4922.0,9.844,600.0,0.0575182229983965,2.0465402904895544,0.0244373249868073,-0.0114741085829577,-0.0002385159417474,127826909837276.62,10.431476647265786,102.6874561156844,1333423424859700.2,0.0033276166554177,0.0018991763029911
22,22,600,0.1,50000.0,232,5.0,,0.6,4601.0,9.202,600.0,0.0423342207886889,2.305039512320298,0.0275876982772932,-0.0040187492505468,-0.0001598935681489,119490372239193.38,14.172931232037945,130.41931319721314,1693528828636703.2,0.0031105981778905,0.001775316978883
23,23,600,0.1,50000.0,232,10.0,,0.6,4033.0,8.065999999999999,600.0,0.047648636109443,2.19187264418904,0.0296654728368213,-0.003799688327996,5.4396870029239854e-05,104739115679345.12,12.592175747105838,101.56848957615568,1318893352230762.2,0.0027265904045712,0.0015561515704923
24,24,600,0.1,50000.0,240,1.6,,0.6,5814.0,11.628,600.0,0.0966983753990007,2.248544188388106,0.0298180017278852,0.0017309217613535,-5.890021094026242e-05,150992615561545.38,6.20486122465094,72.15012632024113,936888225506459.2,0.0039306711163346,0.0022433585992667
25,25,600,0.1,50000.0,240,2.25,,0.6,5061.0,10.122,600.0,0.0929892993410703,2.249662939014573,0.029018392516582,-0.026753891027083,-1.7473915961886017e-05,131436812410901.48,6.452355316704697,65.31074051568494,848077015370198.1,0.0034215903886772,0.0019528100913121
26,26,600,0.1,50000.0,240,5.0,,0.6,4488.0,8.976,600.0,0.1772220771970296,2.216793733973595,0.0294810591383192,-0.0121413409563953,-5.506087070011267e-05,116555703240491.16,3.3855827078075595,30.388990385280657,394608973387356.5,0.0030342022652407,0.0017317154099602
27,27,600,0.1,50000.0,240,10.0,,0.6,3702.0,7.404,600.0,0.3394457307356333,2.3353580963228464,0.029476770987469,-0.0862570560854602,-8.237656015034715e-05,96142872860137.77,1.767587409921768,13.087217183060767,169940931621288.75,0.0025028112268095,0.0014284337004618
28,28,600,0.1,50000.0,245,1.6,,0.6,5664.0,11.328,600.0,0.131517846474253,2.224410754417614,0.029967921093622,0.0189914548004003,-0.0001888932723761,147097037244684.03,4.562118496347648,51.67967832662617,671074114371911.9,0.0038292606128171,0.0021854804104311
29,29,600,0.1,50000.0,245,2.25,,0.6,4920.0,9.84,600.0,0.1754046418097914,2.479464284622903,0.0294301382274799,0.0112874865039643,-0.0001725227245238,127774968793051.8,3.420662040692396,33.65931448041318,437074985501047.9,0.0033262645153708,0.0018984045938067
30,30,600,0.1,50000.0,245,5.0,,0.6,4336.0,8.672,600.0,0.299565633865086,2.288574165966096,0.0298577570174981,-0.046999996172994,0.0001391654030065,112608183879405.02,2.0028999730664,17.369148566431825,225542928459116.53,0.0029314396216764,0.0016730655119402
31,31,600,0.1,50000.0,245,10.0,,0.6,3020.0,6.04,600.0,0.5394614352182998,2.27778959381994,0.0295995213921655,-0.1430293775173006,0.0002016063858194,78430976779474.89,1.112220375414236,6.7178110675019855,87232530437772.78,0.002041731470817,0.0011652808685561
32,32,700,0.1,50000.0,225,1.6,,0.7,6208.0,12.416,700.0,0.1251166899846794,2.5207494168610536,0.0289273675366362,0.0076757051434,-7.092573157568752e-05,147979113180275.53,5.594777164307298,69.46475327203942,827910163215450.6,0.0045075371500072,0.0025655586370154
33,33,700,0.1,50000.0,225,2.25,,0.7,5371.0,10.742,700.0,0.1093890393233323,2.4161314078749694,0.0293892667721916,-0.0110459393150019,-0.0002119422183711,128027676689958.1,6.399178604457241,68.73997656907967,819271969452748.9,0.0038998038068119,0.0022196545488739
34,34,700,0.1,50000.0,225,5.0,,0.7,4940.0,9.88,700.0,0.2091097425268344,2.268190410178881,0.0297909039252885,0.0360326143520812,8.21317435227536e-05,117753997923737.28,3.347524565528892,33.073542707425446,394184400738948.6,0.0035868610697544,0.0020415366731404
35,35,700,0.1,50000.0,225,10.0,,0.7,4089.0,8.178,700.0,0.3721266394288705,2.003192162288774,0.0296200164529837,0.0791400542607068,4.541644170604462e-05,97468845649830.31,1.8810800567095665,15.383472703770831,183346701702398.75,0.0029689625332441,0.0016898468535367
