,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
2004,2004,0.03,900.7999999999772,2.25,1,500000.0,,1887.5,0.3774999999999999,900.7999999999772,0.0967855061427371,0.0099103603979096,0.0092676473871754,3481249978536.618,9.30941118574672,3.515556949063277,32419953784028.59,0.0001368626311958,7.49168372751958e-05
2005,2005,0.03,900.9999999999771,2.25,1,500000.0,,1870.0,0.374,900.9999999999771,0.0905591873658977,0.0109372851123309,0.009448136309473,3447838458221.1533,10.036378390210938,3.7481831860017705,34553823896135.81,0.0001355782090288,7.420947937547239e-05
2006,2006,0.03,901.1999999999772,2.25,1,500000.0,,1986.5,0.3973,901.1999999999772,0.0929693135867068,0.0104003461085811,0.0093667697538274,3661425505869.573,9.757791317785705,3.883976953315325,35793839116733.766,0.0001440121216594,7.881900330001436e-05
2007,2007,0.03,901.3999999999772,2.25,1,500000.0,,1905.5,0.3811,901.3999999999772,0.1032318998525738,0.0104889899013482,0.0091895948777502,3510965957736.208,8.733126886853032,3.329067561355113,30669753027871.15,0.000138127882334,7.55919635368939e-05
2008,2008,0.03,901.5999999999772,2.25,1,500000.0,,1899.0,0.3798,901.5999999999772,0.0959401516691968,0.0089337831318071,0.0092734890539669,3497829327490.6494,9.403786095650377,3.571655016173217,32893732657319.03,0.0001376446274083,7.532097014634485e-05
2009,2009,0.03,901.7999999999772,2.25,1,500000.0,,1916.0,0.3832,901.7999999999772,0.0991890506836625,0.0102333577910961,0.0092100024690383,3527971690477.2744,9.092401112272132,3.484129951027909,32077014178419.71,0.0001388646429698,7.598199200445099e-05
2010,2010,0.03,901.9999999999771,2.25,1,500000.0,,1892.5,0.3784999999999999,901.9999999999771,0.1083654961860247,0.0102730462900169,0.009555663392952,3483544509982.164,8.32435825034895,3.150252144916138,28993510077892.07,0.000137149402757,7.503696355195484e-05
2011,2011,0.03,902.1999999999772,2.25,1,500000.0,,1949.5,0.3899,902.1999999999772,0.1096568441134308,0.010836507432319,0.0089477101443941,3587274054841.422,8.281153750557685,3.225555188914697,29676713110163.664,0.0001412656260568,7.728349584696731e-05
2012,2012,0.03,902.3999999999772,2.25,1,500000.0,,1882.5,0.3765,902.3999999999772,0.0929305808609796,0.0107643864042572,0.0090636476069217,3462837365641.976,9.710646958977955,3.6559315775975145,33625223036215.38,0.0001363965687519,7.461439515764768e-05
2013,2013,0.03,902.5999999999772,2.25,1,500000.0,,1937.5,0.3874999999999999,902.5999999999772,0.0987725243028307,0.0100657343935015,0.0089610246779019,3562825621381.6484,9.184998019405342,3.552956251282104,32667260809589.61,0.0001403671065324,7.67809410632197e-05
2014,2014,0.03,902.7999999999772,2.25,1,500000.0,,1953.5,0.3906999999999999,902.7999999999772,0.1039934693690156,0.0098450017639279,0.0091741531975851,3591054271331.74,8.696412355334884,3.39852171472176,31236948860673.777,0.0001415116526865,7.740146477593993e-05
2015,2015,0.03,902.999999999977,2.25,1,500000.0,,1931.5,0.3863,902.999999999977,0.0917604809013141,0.0092478761279664,0.0093591366523707,3549432446775.939,9.897313193029945,3.8266964365340743,35160757172653.14,0.0001399035149153,7.651639203903681e-05
2016,2016,0.03,903.1999999999772,2.25,1,500000.0,,1950.0,0.3899999999999999,903.1999999999772,0.09611874767603,0.0104194301067769,0.0090830544644823,3582237825913.492,9.39738414594321,3.664947979929254,33663372522327.73,0.0001412247005697,7.723574721882294e-05
2017,2017,0.03,903.3999999999772,2.25,1,500000.0,,1929.0,0.3858,903.3999999999772,0.1004273473759553,0.0092244091063771,0.0091486564788786,3542481453264.259,9.028622746035232,3.4866302144875068,32014833771935.664,0.000139685197455,7.639059654034709e-05
2018,2018,0.03,903.5999999999772,2.25,1,500000.0,,1915.0,0.383,903.5999999999772,0.0938724102968535,0.0105684512002199,0.009906990250744,3515601501098.1577,9.668634812824385,3.700385223940621,33966265921480.65,0.0001386529177328,7.582289243674724e-05
2019,2019,0.03,903.799999999977,2.25,1,500000.0,,1897.0,0.3794,903.799999999977,0.0940948159878302,0.0102438172944052,0.0094209398173044,3481397804791.509,9.664342633701336,3.667709986010091,33655133088844.035,0.0001373313252923,7.509702943522066e-05
2020,2020,0.03,903.999999999977,2.25,1,500000.0,,1870.5,0.3741,903.999999999977,0.1021568807819903,0.0095157566635017,0.0099882063471571,3431621988680.507,8.860274624750861,3.317110678608196,30427880095158.52,0.0001353948069852,7.403497952768686e-05
2021,2021,0.03,904.1999999999772,2.25,1,500000.0,,1928.0,0.3856,904.1999999999772,0.1024603874476497,0.0103256019148846,0.0089576679369117,3535933755400.4146,8.843064796799812,3.4061156568030304,31233919413090.48,0.0001395402468791,7.629745663188042e-05
2022,2022,0.03,904.399999999977,2.25,1,500000.0,,1919.5,0.3838999999999999,904.399999999977,0.095948195001199,0.0099144018631406,0.0092739935916839,3519172212557.5312,9.5667421477522,3.667449188231205,33619133300833.38,0.0001389084636747,7.594774680725313e-05
2023,2023,0.03,904.599999999977,2.25,1,500000.0,,1926.0,0.3852,904.599999999977,0.0997616293549867,0.0096006088826553,0.0091746914760175,3529912586065.2188,9.143348019034924,3.513529824912043,32197438085338.9,0.0001393621956945,7.619154298829325e-05
2024,2024,0.03,904.799999999977,2.25,1,500000.0,,1912.0,0.3824,904.799999999977,0.093386617753822,0.0096250653724791,0.0098038437316223,3503085782232.1167,9.690514064302372,3.7056525781892287,33946702041178.016,0.000138332639174,7.562441792928906e-05
2025,2025,0.03,904.999999999977,2.25,1,500000.0,,1905.5,0.3811,904.999999999977,0.1049164579446255,0.0091282289715597,0.0091373889386405,3490012685626.007,8.628449599877257,3.286688849034165,30098624447217.984,0.000137845875735,7.535407511037915e-05
2026,2026,0.03,905.199999999977,2.25,1,500000.0,,1889.0,0.3778,905.199999999977,0.0976929665926036,0.0095979938600353,0.0093290771220068,3458638170373.461,9.27594840735885,3.502055934621626,32060202038817.53,0.0001366388360932,7.468843244244757e-05
2027,2027,0.03,905.3999999999768,2.25,1,500000.0,,1914.5,0.3829,905.3999999999768,0.1035836135545764,0.0094918952720884,0.0097416756167179,3504157470493.248,8.74380014899354,3.348082533719614,30640398073548.043,0.0001384697521474,7.568334454406968e-05
2028,2028,0.03,905.599999999977,2.25,1,500000.0,,1896.5,0.3792999999999999,905.599999999977,0.0967389348153346,0.0096056613396735,0.0094620179893797,3470053045498.2373,9.378392999988238,3.5508541932633,32485242308076.72,0.000137154390652,7.495857350308448e-05
2029,2029,0.03,905.799999999977,2.25,1,500000.0,,1877.5,0.3755,905.799999999977,0.1035354098863194,0.0114188929274535,0.0090767961000114,3434141509582.884,8.748817628836214,3.2852296120657134,30045122181906.094,0.0001357669660812,7.419453120219917e-05
2030,2030,0.03,905.9999999999768,2.25,1,500000.0,,1925.0,0.385,905.9999999999768,0.1034165494565399,0.0102237980171266,0.0090171733416358,3519847934717.6445,8.808637335562395,3.384176399342893,30939704701161.76,0.0001391881224267,7.605821502494645e-05
2031,2031,0.03,906.1999999999769,2.25,1,500000.0,,1952.5,0.3904999999999999,906.1999999999769,0.1040253597717537,0.010136059531347,0.0091852038564206,3568938693651.565,8.711341288766416,3.40178288324108,31090280561845.52,0.0001411625546545,7.713115693776957e-05
2032,2032,0.03,906.3999999999768,2.25,1,500000.0,,1974.0,0.3947999999999999,906.3999999999768,0.1017128022085671,0.0101606074698739,0.0091653082140745,3607032229267.4585,9.016601891666967,3.558390686842429,32510714011564.867,0.0001427028394759,7.796673034074448e-05
2033,2033,0.03,906.599999999977,2.25,1,500000.0,,1957.5,0.3914999999999999,906.599999999977,0.0990874863308021,0.0107871853450857,0.0090672059739954,3575686426332.7397,9.296019181298767,3.6385745357552457,33232187940485.266,0.0001414960161065,7.730138528042768e-05
2034,2034,0.03,906.7999999999768,2.25,1,500000.0,,1918.5,0.3837,906.7999999999768,0.1050751367042721,0.0097634952132341,0.0092914754369925,3503274684388.2363,8.640100753336183,3.316712173603543,30282391955140.93,0.0001386631927379,7.574790126630207e-05
2035,2035,0.03,906.9999999999768,2.25,1,500000.0,,1885.0,0.377,906.9999999999768,0.1106236605823482,0.0101822964347318,0.0093342436955125,3440950501297.798,8.205526719346079,3.0941330697226888,28240739356351.14,0.0001362284052924,7.441207455020129e-05
