,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
55,55,0.05,612,2,500000.0,1.22388822314828,,34000.0,10.0,,61.2,0.06112087976012504,0.01793181477480225,0.0036639120481744857,0.10012990542183056,10.012990542183056,
56,56,0.05,614,2,500000.0,1.2245971197151,,34000.0,10.0,,61.4,0.06137334950224613,0.01838654561199701,0.0037028369363623233,0.10004343246297628,10.004343246297628,
57,57,0.05,616,2,500000.0,1.2252878876884,,34000.0,10.0,,61.6,0.06152222752945023,0.017611099887709095,0.0035982642444517743,0.100126566395156,10.012656639515601,
58,58,0.05,618,2,500000.0,1.225923815419,,34000.0,10.0,,61.8,0.061754234418247046,0.017984851792844325,0.003563111500531089,0.10007419146535548,10.007419146535549,
59,59,0.05,620,2,500000.0,1.22668718395639,,34000.0,10.0,,62.0,0.06190437025962183,0.01812772225399804,0.003647724702836648,0.1001548543536486,10.015485435364862,
60,60,0.05,622,2,500000.0,1.22741865002142,,34000.0,10.0,,62.2,0.06213818872850879,0.017945444997233446,0.00366682280339642,0.10009962224759875,10.009962224759873,
61,61,0.05,624,2,500000.0,1.22816432589286,,34000.0,10.0,,62.4,0.06224132963760894,0.01775720748742684,0.0037497917044736016,0.10025863089915835,10.025863089915836,
62,62,0.05,626,2,500000.0,1.22887045718098,,34000.0,10.0,,62.6,0.06251617921393289,0.01798623651560703,0.0036391627780603024,0.1001344086156715,10.013440861567153,
63,63,0.05,628,2,500000.0,1.22959507691401,,34000.0,10.0,,62.8,0.058675331632416686,0.018318840133776583,0.0036716155092753186,0.10959554960259849,10.959554960259847,
64,64,0.05,630,2,500000.0,1.23040421769492,,34000.0,10.0,,63.0,0.06094846372616415,0.018799471170283997,0.003665448672767756,0.10476864071671271,10.476864071671272,
65,65,0.05,632,2,500000.0,1.23117903184959,,34000.0,10.0,,63.2,0.06315717953753505,0.01841203671837695,0.0035908424059922527,0.1000678482289666,10.006784822896662,
66,66,0.05,634,2,500000.0,1.2319261619573,,34000.0,10.0,,63.4,0.06132627503447787,0.017811858770812254,0.003618781844314848,0.10477564947727729,10.477564947727728,
