,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
410,410,0.04,1070,3.0,1,500000.0,,493.04,0.098608,,214.0,0.02166224047991818,0.0035692984918717433,0.0028972619360886835,1.98028084670186,0.9761224951504343,
411,411,0.04,1070,5.0,1,500000.0,,331.52,0.066304,,214.0,0.020093496159133792,0.00358523912592308,0.0028314733218701544,2.1350387463776324,0.7083909319485893,
412,412,0.04,1080,1.5,1,500000.0,,266.96,0.053392,,216.0,0.029952783116550565,0.003774024467540544,0.0028640427844115524,1.4545089711087524,0.388591256306741,
413,413,0.04,1080,2.25,1,500000.0,,540.4,0.10808,,216.0,0.02333075153072059,0.0037162480425395232,0.002896828683188085,1.8578545797538353,1.004251575729601,
414,414,0.04,1080,3.0,1,500000.0,,486.0,0.09719999999999998,,216.0,0.022049892425038707,0.003318793440235889,0.0028885244326830807,1.9612640169213305,0.9532696417107862,
415,415,0.04,1080,5.0,1,500000.0,,337.12,0.067424,,216.0,0.02063966178178816,0.003399207928120473,0.002856720080359846,2.096604670436144,0.7072362222071129,
416,416,0.04,1090,1.5,1,500000.0,,266.91999999999996,0.053384,,218.0,0.02940192596031011,0.0035665637529931063,0.0028792797139550914,1.4960327360532333,0.3995848146143976,
417,417,0.04,1090,2.25,1,500000.0,,545.8,0.10916,,218.0,0.02326436803120487,0.0034429713589605414,0.002916568240361044,1.8760705336650496,1.0239375561467692,
418,418,0.04,1090,3.0,1,500000.0,,501.48,0.100296,,218.0,0.02225924497366577,0.0036292397786277224,0.002855072090702112,1.9596244655706687,0.982737052008162,
419,419,0.04,1090,5.0,1,500000.0,,344.48,0.068896,,218.0,0.02046419343298112,0.0036386704407345817,0.002735450661341859,2.1375669834687767,0.736735970591249,
420,420,0.04,1100,1.5,1,500000.0,,267.36,0.053472,,220.0,0.029941889904093844,0.003645530393451352,0.0028817737849495062,1.4883790594999633,0.3978886797217617,
421,421,0.04,1100,2.25,1,500000.0,,550.72,0.11014399999999996,,220.0,0.02356403426113502,0.003751960308328221,0.0028951411550732953,1.8682737088297003,1.0289513721935015,
422,422,0.04,1100,3.0,1,500000.0,,506.76,0.10135200000000003,,220.0,0.022874565177080513,0.003873265246306364,0.0029654419720342375,1.9321004293254331,0.9795887425196629,
423,423,0.04,1100,5.0,1,500000.0,,351.88,0.07037600000000001,,220.0,0.021763975157773528,0.003517195037228944,0.002822432037949953,2.038458658450311,0.7178907682401398,
424,424,0.04,1110,1.5,1,500000.0,,266.28,0.053256,,222.0,0.030905259145529277,0.003657598648867509,0.00289172719358433,1.4389882338432547,0.3831586353469637,
425,425,0.04,1110,2.25,1,500000.0,,553.48,0.110696,,222.0,0.02418053885882728,0.0036360385981931407,0.002864010066494911,1.8395585258764195,1.0180979388766531,
426,426,0.04,1110,3.0,1,500000.0,,512.76,0.102552,,222.0,0.022479893017844005,0.0035843278868502955,0.002868605395588249,1.9793438325018633,1.0150992134197987,
427,427,0.04,1110,5.0,1,500000.0,,345.44,0.069088,,222.0,0.02124012855683759,0.003635916204478765,0.0028295845640359312,2.095261564312577,0.7239180540827057,
428,428,0.04,1120,1.5,1,500000.0,,262.8,0.05256000000000001,,224.0,0.03318460125116872,0.003493434821318737,0.0028591045902532633,1.3539113582210143,0.35564699299707714,
429,429,0.04,1120,2.25,1,500000.0,,561.6,0.11232,,224.0,0.024786562720055368,0.003773379194690779,0.002932595802084162,1.8103192348156227,1.017183430515136,
430,430,0.04,1120,3.0,1,500000.0,,516.48,0.10329599999999999,,224.0,0.022731595337018008,0.0037133765788631167,0.0029145041793223582,1.977935607302928,1.0214195176424279,
431,431,0.04,1120,5.0,1,500000.0,,359.08000000000004,0.07181599999999999,,224.0,0.02049822283631329,0.003791664371759636,0.002794906241608923,2.192368491774425,0.7870426319073242,
432,432,0.04,1130,1.5,1,500000.0,,262.0,0.0524,,226.0,0.034733038413878606,0.0032775791740656383,0.002898505163558177,1.3121841067908553,0.343950750439571,
433,433,0.04,1130,2.25,1,500000.0,,558.48,0.11169599999999998,,226.0,0.02616754182791737,0.0036006026602429164,0.00286736813222081,1.7345363820927264,0.9681551459292539,
434,434,0.04,1130,3.0,1,500000.0,,522.3199999999999,0.104464,,226.0,0.022167772391630928,0.003720564498787801,0.002955799675547928,2.047200974860204,1.0687642499074788,
435,435,0.04,1130,5.0,1,500000.0,,360.32,0.072064,,226.0,0.021526709640565966,0.003566854334738907,0.00288334590041405,2.1042282152505436,0.7586023525003542,
436,436,0.04,1140,1.5,1,500000.0,,255.44,0.051088,,228.0,0.02849200446466057,0.003710422952168017,0.0028395943229864,1.612482266660751,0.4125377567963456,
437,437,0.04,1140,2.25,1,500000.0,,573.96,0.114792,,228.0,0.024368375806534455,0.003576459633862625,0.002924542133852724,1.873608263918148,1.0751871630688847,
438,438,0.04,1140,3.0,1,500000.0,,517.24,0.103448,,228.0,0.02288473175201943,0.0036472395624919194,0.002801534762153432,2.009497948332159,1.0411593730263833,
439,439,0.04,1140,5.0,1,500000.0,,358.72,0.071744,,228.0,0.02300495798052907,0.003358555827920517,0.002818674765034786,1.9865985470355267,0.712516028239756,
440,440,0.04,1150,1.5,1,500000.0,,257.84000000000003,0.051568,,230.0,0.03127494352657777,0.003636505433348904,0.002982507066858623,1.4873038667435612,0.3834885524304438,
441,441,0.04,1150,2.25,1,500000.0,,565.0,0.113,,230.0,0.025854354537759715,0.0036065435146959302,0.002890780578583823,1.7883767272238607,1.0114513311473057,
442,442,0.04,1150,3.0,1,500000.0,,534.72,0.106944,,230.0,0.023404231304884886,0.0038303835347947854,0.00286689578744312,1.968375703032876,1.0525813540725963,
443,443,0.04,1150,5.0,1,500000.0,,368.68,0.07373599999999998,,230.0,0.02178787636781635,0.0036195024109322974,0.00288849359585087,2.1158972095766875,0.7807820533008426,
444,444,0.04,1160,1.5,1,500000.0,,256.84000000000003,0.051368,,232.0,0.03480891095383413,0.003532472142438905,0.002881546468317452,1.344501278124342,0.34555238430939406,
445,445,0.04,1160,2.25,1,500000.0,,562.3199999999999,0.11246399999999998,,232.0,0.025466339938466264,0.003718704042543027,0.0029039627267233867,1.8274358620239175,1.0282335710175567,
446,446,0.04,1160,3.0,1,500000.0,,524.36,0.104872,,232.0,0.02329008700848135,0.0037075833511417008,0.002875026063838247,1.9941158963185397,1.0450894030773468,
447,447,0.04,1160,5.0,1,500000.0,,364.44,0.07288799999999998,,232.0,0.02150632790105192,0.0033720128635821266,0.0029370622222579515,2.163730772221772,0.7887812447266934,
448,448,0.04,1170,1.5,1,500000.0,,254.24,0.05084799999999999,,234.0,0.03608448430157296,0.003449740530593748,0.0028931611810720315,1.2988334599154687,0.33057506235673007,
449,449,0.04,1170,2.25,1,500000.0,,565.52,0.113104,,234.0,0.02631022350323292,0.0034830781768450574,0.0029473782108038063,1.7820942733603045,1.0080363418694112,
450,450,0.04,1170,3.0,1,500000.0,,527.48,0.105496,,234.0,0.0245061758846532,0.003798023408444948,0.0028880541182165617,1.911739595467076,1.0087478119291395,
451,451,0.04,1170,5.0,1,500000.0,,372.16,0.07443199999999998,,234.0,0.02353852538493811,0.0038319031627776375,0.002842113757953635,1.9945324430254023,0.7418997987579102,
452,452,0.04,1180,1.5,1,500000.0,,248.2,0.04964,,236.0,0.03593308908193649,0.0033317345371674315,0.0029009870931259946,1.3217856638614478,0.3286844376464764,
453,453,0.04,1180,2.25,1,500000.0,,576.52,0.115304,,236.0,0.027557112003905787,0.003785920179187655,0.0029787728626460767,1.7161209781761708,0.9891092107506512,
454,454,0.04,1180,3.0,1,500000.0,,535.92,0.10718399999999997,,236.0,0.02546296241182972,0.0037552295144901225,0.002870267034876616,1.8618812340959163,0.9976302592323537,
455,455,0.04,1180,5.0,1,500000.0,,378.08,0.075616,,236.0,0.024286053687819727,0.0033040813129332366,0.0028844764419109947,1.9489310952063852,0.7372871913421446,
456,456,0.04,1190,1.5,1,500000.0,,251.48,0.05029600000000001,,238.0,0.033768922755116365,0.003722214420079324,0.0029379269094125782,1.420301513106068,0.35803391819121017,
457,457,0.04,1190,2.25,1,500000.0,,570.8,0.11416,,238.0,0.027847063545350464,0.0035984207627073085,0.002911359429807022,1.7103046792060195,0.9763968750132934,
458,458,0.04,1190,3.0,1,500000.0,,538.8,0.10776,,238.0,0.02480652828327948,0.003697222296817561,0.002889155956327549,1.9263062767970096,1.038898205116995,
459,459,0.04,1190,5.0,1,500000.0,,373.8,0.07476,,238.0,0.023912120051491,0.0038629257480425967,0.002854028964280104,1.9950770419042063,0.7457195078144503,
460,460,0.04,1200,1.5,1,500000.0,,247.6,0.04952,,240.0,0.03384212454997396,0.0037036660500070233,0.0029274351653312174,1.4329596565547003,0.35557418949267744,
461,461,0.04,1200,2.25,1,500000.0,,571.24,0.11424799999999997,,240.0,0.025258095584185868,0.0036709829649447055,0.0028819951916618366,1.9040075958337273,1.0873946586743628,
462,462,0.04,1200,3.0,1,500000.0,,549.12,0.109824,,240.0,0.02572593953492287,0.003705080663203016,0.00297113073046303,1.8701704620668729,1.0275214018799153,
463,463,0.04,1200,5.0,1,500000.0,,375.96,0.07519199999999998,,240.0,0.023526318044896473,0.003896473789302244,0.00285400581442097,2.0529236838185287,0.7723910840851117,
464,464,0.04,1210,1.5,1,500000.0,,241.96,0.048392,,242.0,0.03184369658946708,0.003561767974853848,0.0028213409624977957,1.5372359871282393,0.37199050201931966,
465,465,0.04,1210,2.25,1,500000.0,,569.76,0.11395199999999998,,242.0,0.026614143734068417,0.003504871833305809,0.002951630513724584,1.8315880138687857,1.0448488375323968,
466,466,0.04,1210,3.0,1,500000.0,,541.96,0.108392,,242.0,0.026902039295582648,0.003701527865591316,0.002897148098352917,1.800822171387144,0.9758755943246125,
467,467,0.04,1210,5.0,1,500000.0,,381.6,0.07632000000000001,,242.0,0.02537402456136988,0.0035678355159560284,0.002934022133695412,1.9088199662785663,0.7282711616395933,
