Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays
659,0.04,1690,5.0,1,500000.0
660,0.04,1700,1.5,1,500000.0
661,0.04,1700,2.25,1,500000.0
662,0.04,1700,3.0,1,500000.0
663,0.04,1700,5.0,1,500000.0
664,0.04,1710,1.5,1,500000.0
665,0.04,1710,2.25,1,500000.0
666,0.04,1710,3.0,1,500000.0
667,0.04,1710,5.0,1,500000.0
668,0.04,1720,1.5,1,500000.0
669,0.04,1720,2.25,1,500000.0
670,0.04,1720,3.0,1,500000.0
671,0.04,1720,5.0,1,500000.0
672,0.04,1730,1.5,1,500000.0
673,0.04,1730,2.25,1,500000.0
674,0.04,1730,3.0,1,500000.0
675,0.04,1730,5.0,1,500000.0
676,0.04,1740,1.5,1,500000.0
677,0.04,1740,2.25,1,500000.0
678,0.04,1740,3.0,1,500000.0
679,0.04,1740,5.0,1,500000.0
680,0.04,1750,1.5,1,500000.0
681,0.04,1750,2.25,1,500000.0
682,0.04,1750,3.0,1,500000.0
683,0.04,1750,5.0,1,500000.0
684,0.04,1760,1.5,1,500000.0
685,0.04,1760,2.25,1,500000.0
686,0.04,1760,3.0,1,500000.0
687,0.04,1760,5.0,1,500000.0
688,0.04,1770,1.5,1,500000.0
689,0.04,1770,2.25,1,500000.0
690,0.04,1770,3.0,1,500000.0
691,0.04,1770,5.0,1,500000.0
692,0.04,1780,1.5,1,500000.0
693,0.04,1780,2.25,1,500000.0
694,0.04,1780,3.0,1,500000.0
695,0.04,1780,5.0,1,500000.0
696,0.04,1790,1.5,1,500000.0
697,0.04,1790,2.25,1,500000.0
698,0.04,1790,3.0,1,500000.0
699,0.04,1790,5.0,1,500000.0
700,0.04,1800,1.5,1,500000.0
701,0.04,1800,2.25,1,500000.0
702,0.04,1800,3.0,1,500000.0
703,0.04,1800,5.0,1,500000.0
704,0.04,1810,1.5,1,500000.0
705,0.04,1810,2.25,1,500000.0
706,0.04,1810,3.0,1,500000.0
707,0.04,1810,5.0,1,500000.0
708,0.04,1820,1.5,1,500000.0
